"name","sub","size"
"DUNBAR ARMORED INC","Department of State",971060.83
"KPMG EAST AFRICA LTD","Department of State",967590
"GREAT-WEST LIFE ASSURANCE COMPANY THE","Department of State",967579.55
"COMPAGNIE DASSURANCE DHAITI SA","Department of State",966877.16
"ALPHAMICRON INC","Department of the Air Force",999952
"MOHAWK INNOVATIVE TECHNOLOGY INC","Department of the Air Force",999579
"UNITED DYNAMICS INC","Department of the Air Force",999113.85
"HAMILTON PRODUCTS GROUP INC","Department of the Air Force",998998.1
"BAILEYS PREMIER SERVICES LLC","Department of the Air Force",997131.42
"ADVANCED TECHNOLOGY LEADERS INC","Department of the Air Force",996697.6
"TECHTREND INC","Department of the Air Force",996518.76
"IN SPACE LLC","Department of the Air Force",996026.87
"TRIBOLOGIX INC","Department of the Air Force",995599
"NETCOM TECHNOLOGIES INC","Department of the Air Force",995593.62
"NUMAT TECHNOLOGIES INC","Department of the Army",999999.99
"RDMCHEM LLC","Department of the Army",999999.96
"HARP ENGINEERING LLC","Department of the Army",999999.9
"TEMPER INC","Department of the Army",999999.79
"WW TECHNOLOGY GROUP INC","Department of the Army",999999.7
"CARBON SOLUTIONS INC","Department of the Army",999999.61
"SONALYSTS INC","Department of the Army",999999.4
"MAGNOLIA OPTICAL TECHNOLOGIES INC","Department of the Army",999998.4
"DATASOFT CORP","Department of the Army",999997.91
"ARTEMIS INC","Department of the Army",999997.81
"WW TECHNOLOGY GROUP INC","Department of the Navy",999999
"FIDELITY COMTECH INC","Department of the Navy",999994
"TANENHAUS & ASSOC INC","Department of the Navy",999993
"INTRAMICRON INC","Department of the Navy",999968
"OMEGA MICRO TECHNOLOGIES INC","Department of the Navy",999957
"INNOVATIVE DESIGN AND RESEARCH INC","Department of the Navy",999956
"AVID LLC","Department of the Navy",999951
"D&P LLC","Department of the Navy",999946
"RPA ELECTRONIC SOLUTIONS INC","Department of the Navy",999939
"ULTRAMET","Department of the Navy",999926
"THE MITRE CORPORATION","Department of Transportation",495298
"CAVALIER TELEPHONE LLC","Department of Transportation",219081.42
"DESIGN EDGE PC","Department of Transportation",127491.83
"HY-LITE CONSTRUCTION LLC","Department of Transportation",93512.45
"VERIZON FEDERAL INC","Department of Transportation",73765.57
"MCWATERS INC","Department of Transportation",68440.58
"NEW BEDFORD PANORAMEX CORP","Department of Transportation",59947
"FRONTIER WEST VIRGINIA INC","Department of Transportation",56159.85
"CORE TECHNOLOGIES INC","Department of Transportation",51900
"MISCELLANEOUS FOREIGN AWARDEES","Department of Transportation",35210.96
"CFO LEASING INC","Department of Veterans Affairs",999960
"ENSYNC DIVERSIFIED MANAGEMENT SERVICES INC","Department of Veterans Affairs",999649.74
"LOWN ACQUISITION LLC","Department of Veterans Affairs",998652.22
"NORTHSHORE DIGESTIVE MEDICINE","Department of Veterans Affairs",997650
"HOLY SPIRIT RETIREMENT HOME INC","Department of Veterans Affairs",997003.75
"BLIND AND VISION IMPAIRED VIRGINIA DEPARTMENT FOR THE","Department of Veterans Affairs",996228
"ELITE MEDICAL TRANSPORTATION SOLUTIONS LLC","Department of Veterans Affairs",996104.35
"SPECTRUM SERVICES GROUP INC","Department of Veterans Affairs",995221.82
"NATIONAL COUNCIL ON THE AGING FOUNDATION INC THE","Department of Veterans Affairs",994838
"MECA CONSULTING INC","Department of Veterans Affairs",994582.2
"AOSENSE INC","Domestic Nuclear Detection Office",999885.17
"RAND CORPORATION THE","Domestic Nuclear Detection Office",889112.65
"MYTHICS INC","Domestic Nuclear Detection Office",783203.3
"EUCLID BEAMLABS LLC","Domestic Nuclear Detection Office",647786.59
"INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INCORPORATED THE","Domestic Nuclear Detection Office",480280
"CONCUR TECHNOLOGIES INC","Domestic Nuclear Detection Office",475340.71
"THERMO EBERLINE LLC","Domestic Nuclear Detection Office",365160
"GOVPLACE","Domestic Nuclear Detection Office",314790
"LINDE GAS NORTH AMERICA LLC","Domestic Nuclear Detection Office",243515
"POLIMASTER INC","Domestic Nuclear Detection Office",229296
"STERLING COMPUTERS CORPORATION","Drug Enforcement Administration",990508.82
"CHEMSPEED TECHNOLOGIES INC","Drug Enforcement Administration",941172
"VERSAR INC","Drug Enforcement Administration",940399.75
"KDH DEFENSE SYSTEMS INC","Drug Enforcement Administration",904065.53
"ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE INC","Drug Enforcement Administration",903745.62
"INSPECTION EXPERTS INC","Drug Enforcement Administration",882889.22
"COMMUNITY ANTI-DRUG COALITIONS OF AMERICA","Drug Enforcement Administration",875973.39
"CARAHSOFT TECHNOLOGY CORP","Drug Enforcement Administration",861345.13
"FOUR","Drug Enforcement Administration",856059.68
"CROSSROADS DIVERSIFIED SERVICES INC","Drug Enforcement Administration",853283.93
"J&M GLOBAL SOLUTIONS LLC","Economic Development Administration",841491.33
"BATTLE RESOURCE MANAGEMENT INC","Economic Development Administration",596008
"NOVACES LLC","Economic Development Administration",409859.12
"FI CONSULTING INC","Economic Development Administration",391232.07
"CELLCO PARTNERSHIP DBA VERIZON WIRELESS","Economic Development Administration",356717.2
"DIRECTPACKET INC","Economic Development Administration",268223.27
"JJA CONSULTANTS INC","Economic Development Administration",250000
"LEONARD RESOURCE GROUP INC THE","Economic Development Administration",229874.45
"RICOH USA INC","Economic Development Administration",132605.92
"INTELLIGENT DECISIONS INC","Economic Development Administration",129393.02
"KEY CONCEPTS KNOWLEDGEBASE LLC","Economic Research Service",932999.68
"INFORMATION RESOURCES INC","Economic Research Service",898000
"RECOVERY POINT SYSTEMS INC","Economic Research Service",639270
"NIELSEN COMPANY US LLC THE","Economic Research Service",604662
"DATA FEDERAL CORPORATION","Economic Research Service",274179.2
"CC&C MANAGEMENT SERVICES LLC","Economic Research Service",271080.36
"RESEARCH TRIANGLE INSTITUTE","Economic Research Service",218414
"WALLS DONALD WILLIAM","Economic Research Service",200000
"CORAY GURNITZ CONSULTING INC","Economic Research Service",199797
"MINELIGHT ADVISORS INC","Economic Research Service",190162
"FORS MARSH GROUP LLC","Election Assistance Commission",808031.99
"ONLINE VIDEO SERVICE INC","Election Assistance Commission",248849.81
"ROCHA & COMPANY PC","Election Assistance Commission",201283
"GOVSMART INC","Election Assistance Commission",164437.78
"KPAUL PROPERTIES LLC","Election Assistance Commission",136048.5
"TRANSLATIONS INTERNATIONAL INC","Election Assistance Commission",117470.91
"SILVER RIO LIMITED PARTNERSHIP","Election Assistance Commission",106597.03
"BROWN & COMPANY CERTIFIED PUBLIC ACCOUNTANTS AND MANAGEMENT CONSULTANTS PLLC","Election Assistance Commission",79910.07
"DIAZ DATA SERVICES LLC","Election Assistance Commission",75000
"INTERACTIVE ACCESSIBILITY INC","Election Assistance Commission",68782.31
"VALUEKNOWLEDGE LLC","Employee Benefits Security Administration",935670
"IRON MOUNTAIN INFORMATION MANAGEMENT LLC","Employee Benefits Security Administration",685166.61
"AMTIS INC","Employee Benefits Security Administration",663161.99
"GALLUP INC","Employee Benefits Security Administration",625360.8
"BLDS LLC","Employee Benefits Security Administration",569726.91
"MICRO SYSTEMS CONSULTANTS INC","Employee Benefits Security Administration",545988.62
"REED ELSEVIER INC","Employee Benefits Security Administration",358715
"MILLIMAN INC","Employee Benefits Security Administration",346350
"RAND CORPORATION THE","Employee Benefits Security Administration",292694
"MORNINGSTAR INC","Employee Benefits Security Administration",235500
"HAWORTH INC","Employees Compensation Appeals Board",7402.27
"NEW ORLEANS TELEPORT INC","Employment and Training Administration",953788
"NAVARRO R & ASSOCIATES CPAS","Employment and Training Administration",920617.87
"AMERICAN EAGLE PROTECTIVE SERVICES CORPORATION","Employment and Training Administration",863175.6
"TWOTECH INC","Employment and Training Administration",831018
"FUTRON INCORPORATED","Employment and Training Administration",827611.12
"GIUFFRIDA ASSOCIATES INC","Employment and Training Administration",797362.07
"PLANMATICS INC","Employment and Training Administration",772068.26
"DELL MARKETING LIMITED PARTNERSHIP","Employment and Training Administration",756206.68
"MCLAUGHLIN COMPANY THE","Employment and Training Administration",644124
"GRAY MATTERS TECHNOLOGY SERVICE LLC","Employment and Training Administration",617932.8
"BLUE TECH INC","Employment Standards Administration",194754
"HERMAN MILLER INC","Employment Standards Administration",59525.84
"OPPIX AND HIDER INCORPORATED","Employment Standards Administration",38138
"AT&T CORP","Employment Standards Administration",36548.58
"PITNEY BOWES INC","Employment Standards Administration",28644
"CAVALIER TELEPHONE LLC","Employment Standards Administration",23339.53
"PHELPS & PHELPS CONSULTING LLC","Employment Standards Administration",23260
"NELSON WHITE SYSTEMS INC","Employment Standards Administration",19955.3
"XEROX CORPORATION","Employment Standards Administration",16328.82
"CANON USA INC","Employment Standards Administration",15131.38
"AKAMAI TECHNOLOGIES INC","Environmental Protection Agency",974510.69
"SHEKAR ENGINEERING PLC","Environmental Protection Agency",965722.39
"SECURITAS ELECTRONIC SECURITY INC","Environmental Protection Agency",954298.64
"ACEA BIOSCIENCES INC","Environmental Protection Agency",946082.86
"WATERVISION LLC","Environmental Protection Agency",944169.56
"ADVANCED COMPUTER CONCEPTS IN","Environmental Protection Agency",936404.21
"3T FEDERAL SOLUTIONS LLC","Environmental Protection Agency",936167.4
"QWEST GOVERNMENT SERVICES INC","Environmental Protection Agency",935305.55
"CAUSEWAY AGENCY LLC THE","Environmental Protection Agency",933826.28
"METROPOLITAN ARCHITECTS AND PLANNERS INC","Environmental Protection Agency",930761
"HILTON HOTELS CORPORATION","Equal Employment Opportunity Commission",893666.75
"SAGE COMPUTING INC","Equal Employment Opportunity Commission",882393.99
"IRON BOW TECHNOLOGIES LLC","Equal Employment Opportunity Commission",876478.6
"WORKFORCE SOLUTIONS NEW MEXICO DEPARTMENT OF","Equal Employment Opportunity Commission",814090
"STRATEGY AND MANAGEMENT SERVICES INC","Equal Employment Opportunity Commission",781797.07
"LABOR DELAWARE DEPARTMENT OF","Equal Employment Opportunity Commission",752850
"BUREAU OF NATIONAL AFFAIRS INC THE","Equal Employment Opportunity Commission",741073
"KANSAS HUMAN RIGHTS COMMISSION","Equal Employment Opportunity Commission",737990
"REGULATORY AGENCIES COLORADO DEPARTMENT OF","Equal Employment Opportunity Commission",729330
"ECONSULT CORPORATION","Equal Employment Opportunity Commission",691900
"FOUR LLC","Executive Office of the President",997161.25
"EXECUTIVE FURNITURE OF WASHING","Executive Office of the President",958434.4
"ACQUIA INC","Executive Office of the President",917662.02
"THE MITRE CORPORATION","Executive Office of the President",894900
"CARTRIDGE TECHNOLOGIES INC","Executive Office of the President",806391.31
"ORIZON INC","Executive Office of the President",797465.58
"SMARTSIMPLE SOFTWARE INC","Executive Office of the President",773076.76
"BROWN & COMPANY CERTIFIED PUBLIC ACCOUNTANTS AND MANAGEMENT CONSULTANTS PLLC","Executive Office of the President",738229.84
"OMNIFICS INC","Executive Office of the President",734625.48
"OAKMONT CONTRACTING LLC","Executive Office of the President",619877.63
"J & A GARRIGUES SLP","Export-Import Bank of the United States",975000
"FIG LEAF SOFTWARE INC","Export-Import Bank of the United States",957089.25
"CARAHSOFT TECHNOLOGY CORP","Export-Import Bank of the United States",919535.27
"PATRICIA LEE DOMINGUEZ","Export-Import Bank of the United States",883696.52
"TANTUS TECHNOLOGIES INC","Export-Import Bank of the United States",784595.84
"CONCUR TECHNOLOGIES INC","Export-Import Bank of the United States",778327.16
"INSIGHT PUBLIC SECTOR INC","Export-Import Bank of the United States",774308.67
"MIRACLE SYSTEMS LLC","Export-Import Bank of the United States",759957.31
"NIEVES LLITERAS Y ASOCIADOS SC","Export-Import Bank of the United States",743046.9
"KPMG LLP","Export-Import Bank of the United States",720000
"POLY SAC INC","Farm Service Agency",925116
"NETBASE CORPORATION","Farm Service Agency",909754.24
"RICELAND FOODS INC","Farm Service Agency",906034.5
"DKW COMMUNICATIONS INC","Farm Service Agency",866573.54
"JACOB STERN & SONS INC","Farm Service Agency",861300
"NORTHERN BAG AND BOX COMPANY","Farm Service Agency",856922.39
"CHALLENGE DAIRY PRODUCTS INC","Farm Service Agency",836666.84
"BERING STRAITS INFORMATION TECHNOLOGY LLC","Farm Service Agency",823749.4
"PS INTERNATIONAL LLC","Farm Service Agency",780309.6
"SPOKANE SEED COMPANY","Farm Service Agency",776179.9
"LOGISTICS SYSTEMS INCORPORATED","Federal Acquisition Service",999897.1
"DELCEE INC","Federal Acquisition Service",984997
"TELECOMMUNICATION SOLUTIONS GROUP INC","Federal Acquisition Service",975896
"CARAHSOFT TECHNOLOGY CORP","Federal Acquisition Service",972254.26
"ALPINE AUTO AUCTION OF GAYLORD LLC","Federal Acquisition Service",969168.21
"SALMON GROUP INC","Federal Acquisition Service",959357.5
"BA & W ENTERPRISES INC","Federal Acquisition Service",936500
"GREATER QUAD CITY AUTO AUCTION LLP","Federal Acquisition Service",931409.41
"DESIGN TO DELIVERY INC","Federal Acquisition Service",914120.01
"METRO AUTO AUCTION DALLAS LLC","Federal Acquisition Service",910000
"LITTEKEN CONSTRUCTION COMPANY","Federal Aviation Administration",998113.93
"CAMACHO EQUIPMENT & JANITORIAL SUPPLY INC","Federal Aviation Administration",993080.71
"KM MANAGEMENT GROUP LLC","Federal Aviation Administration",990935.26
"CTR MANAGEMENT GROUP LLC","Federal Aviation Administration",987958.21
"ENVIRONMENTAL ACTION INC","Federal Aviation Administration",981265.39
"ANTIOK HOLDINGS INC","Federal Aviation Administration",981179.42
"OCEM ACQUSITION CORP","Federal Aviation Administration",974820.83
"MITSUBISHI ELECTRIC POWER PRODUCTS INC","Federal Aviation Administration",974225.98
"AIRWAYS INTERNATIONAL LIMITED","Federal Aviation Administration",960577
"GDC INTEGRATION INC","Federal Aviation Administration",960000
"RAPPAHANNOCK GOODWILL INDUSTRIES INC","Federal Bureau of Investigation",945000
"AMERICAN OPERATIONS CORPORATION","Federal Bureau of Investigation",939520.56
"STRAITSYS INC","Federal Bureau of Investigation",938404.7
"MOOG INC","Federal Bureau of Investigation",920000
"SCALETTA MOLONEY ARMORING CORP","Federal Bureau of Investigation",909943
"IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY","Federal Bureau of Investigation",889980
"LANCER INFORMATION SOLUTIONS LLC","Federal Bureau of Investigation",887671.68
"H SQUARED INC","Federal Bureau of Investigation",884341.55
"WESTWIND COMPUTER PRODUCTS INC","Federal Bureau of Investigation",883812.56
"IDEAL INNOVATIONS INCORPORATED","Federal Bureau of Investigation",882302.2
"CENTURYTEL ACQUISITION LLC","Federal Communications Commission",932829.15
"DLT SOLUTIONS LLC","Federal Communications Commission",926382.52
"EC AMERICA INC","Federal Communications Commission",859287.73
"CENSEO CONSULTING GROUP INC","Federal Communications Commission",858487.55
"XEROX CORPORATION","Federal Communications Commission",843487.46
"AFILON INC","Federal Communications Commission",839662.38
"GREENHILL & CO LLC","Federal Communications Commission",713145.58
"GOVPLACE","Federal Communications Commission",707049.8
"CLIFTONLARSONALLEN LLP","Federal Communications Commission",705955.05
"REED ELSEVIER INC","Federal Communications Commission",690752.1
"AUROTECH INC","Federal Election Commission",838893.5
"CARAHSOFT TECHNOLOGY CORP","Federal Election Commission",718787.94
"LEON SNEAD & CO PC","Federal Election Commission",585304.71
"MICROSOFT CORPORATION SITZ IN REDMOND CORPORATION","Federal Election Commission",528411
"TSRC INC","Federal Election Commission",479986.2
"SHI INTERNATIONAL CORP","Federal Election Commission",340162.51
"WIDEPOINT CYBERSECURITY SOLUTIONS CORPORATION","Federal Election Commission",261810
"XEROX CORPORATION","Federal Election Commission",234665.53
"WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY","Federal Election Commission",232500
"CONZINITY GROUP LLC","Federal Election Commission",204600
"M C DEAN INCORPORATED","Federal Emergency Management Agency",993795.83
"AMERICAN SCIENCE AND ENGINEERI","Federal Emergency Management Agency",992676.45
"NATIONAL FOUNDATION CENTER FOR DISEASE CONTROL AND PREVENTION INC","Federal Emergency Management Agency",991048.24
"RV KOUNTRY","Federal Emergency Management Agency",986502
"ARDENT MANAGEMENT CONSULTING INCORPORATED","Federal Emergency Management Agency",983476.33
"BRASADA FORD LTD","Federal Emergency Management Agency",978718
"TECHNICAL COMMUNITIES INC","Federal Emergency Management Agency",971196.68
"R V AMERICA INC","Federal Emergency Management Agency",970668
"NU WAY CONCRETE COMPANY INCORPORATED","Federal Emergency Management Agency",966963.5
"MANHATTAN ASSOCIATES INC","Federal Emergency Management Agency",966140.12
"SECTEK INC","Federal Energy Regulatory Commission",885459.42
"MAXLIN INC","Federal Energy Regulatory Commission",767400
"CARAHSOFT TECHNOLOGY CORP","Federal Energy Regulatory Commission",741108.81
"XEROX CORPORATION","Federal Energy Regulatory Commission",693525.04
"DR ALFRED J HENDRON PHD","Federal Energy Regulatory Commission",691351
"PACIFIC BELL TELEPHONE COMPANY","Federal Energy Regulatory Commission",654055.28
"CCH INCORPORATED","Federal Energy Regulatory Commission",637824.65
"FRONTEO GOVERNMENT SERVICES INC","Federal Energy Regulatory Commission",542056.95
"IDRISS I M","Federal Energy Regulatory Commission",517126
"GLOBAL TECHNOLOGY RESOURCES INC","Federal Energy Regulatory Commission",460204.78
"CONWAY CONSTRUCTION CO","Federal Highway Administration",992414.3
"PITLIK & WICK INC","Federal Highway Administration",989857.79
"QBS INC","Federal Highway Administration",988567.94
"TUTKA LLC","Federal Highway Administration",986159.3
"FEDERAL EXPRESS CORPORATION","Federal Highway Administration",959993.57
"ATKINS NORTH AMERICA INC","Federal Highway Administration",954052.21
"BERRY CONTRACTING LP","Federal Highway Administration",951955.17
"CHEROKEE NATION GOVERNMENT SOLUTIONS","Federal Highway Administration",934118.52
"THE DMP GROUP LIMITED LIABILITY COMPANY","Federal Highway Administration",932166.06
"BOWMAN ASPHALT PRODUCTS INC","Federal Highway Administration",927554.5
"JACOBS ENGINEERING GROUP INC","Federal Housing Finance Agency",425000
"THREE WIRE SYSTEMS","Federal Labor Relations Authority",912533.82
"DEMBO JONES HEALY PENNINGTO","Federal Labor Relations Authority",244400
"FREE STATE REPORTING INC","Federal Labor Relations Authority",225304.44
"WEST PUBLISHING CORPORATION","Federal Labor Relations Authority",159793.62
"YOUNTS CONSULTING INC","Federal Labor Relations Authority",128062
"PRESIDIO NETWORKED SOLUTIONS LLC","Federal Labor Relations Authority",120783.35
"INTUIT INC","Federal Labor Relations Authority",95407.68
"KASTLE SYSTEMS LLC","Federal Labor Relations Authority",80000
"QUICKBASE INC","Federal Labor Relations Authority",72000
"WEBFIRST INC","Federal Labor Relations Authority",43872.18
"CSRA LLC","Federal Law Enforcement Training Center",938062.42
"CITIZANT INC","Federal Law Enforcement Training Center",919898.1
"RED RIVER COMPUTER CO INC","Federal Law Enforcement Training Center",898202.05
"COASTAL HOTELS CORPORATION","Federal Law Enforcement Training Center",878219
"TROFHOLZ TECHNOLOGIES INC","Federal Law Enforcement Training Center",819203.94
"BIG TOP TRAMPOLINE INC","Federal Law Enforcement Training Center",764115
"COMPETITIVE EDGE INC","Federal Law Enforcement Training Center",735709.85
"BRIMTEK INC","Federal Law Enforcement Training Center",735496
"BRUNSWICK HOSPITALITY LLC","Federal Law Enforcement Training Center",726923.7
"ALLIANCE STEEL CONSTRUCTION INC","Federal Law Enforcement Training Center",696406
"GOVCONNECTION INCORPORATED","Federal Maritime Commission",601253.55
"22ND CENTURY TECHNOLOGIES INC","Federal Maritime Commission",480449
"CITIBANK N A","Federal Maritime Commission",375712.45
"DOCUMENT SYSTEMS INCORPORATED","Federal Maritime Commission",296365.38
"SWORD & SHIELD ENTERPRISE SECURITY INC","Federal Maritime Commission",256248.95
"CELLCO PARTNERSHIP DBA VERIZON WIRELESS","Federal Maritime Commission",161370.82
"RELX INC","Federal Maritime Commission",140308
"DATAWATCH SYSTEMS INC","Federal Maritime Commission",62696.68
"KALIJARVI CHUZI & NEWMAN PC","Federal Maritime Commission",55000
"COMPULINK MANAGEMENT CENTER INC","Federal Maritime Commission",53992.2
"ANNAMS SYSTEMS CORPORATION","Federal Mediation and Conciliation Service",942108.89
"I3SOLUTIONS INC","Federal Mediation and Conciliation Service",812297.58
"PLANET TECHNOLOGIES INC","Federal Mediation and Conciliation Service",570000
"SHI INTERNATIONAL CORP","Federal Mediation and Conciliation Service",389034.59
"RINGCENTRAL INC","Federal Mediation and Conciliation Service",382428.05
"E-LOGIC INC","Federal Mediation and Conciliation Service",358978.72
"ADI CONSTRUCTION OF VIRGINIA LLC","Federal Mediation and Conciliation Service",257779.85
"GLOWS CORP","Federal Mediation and Conciliation Service",209920
"CONTRACT FURNITURE OPTIONS INC","Federal Mediation and Conciliation Service",200000
"MICROSOFT CORPORATION SITZ IN REDMOND CORPORATION","Federal Mediation and Conciliation Service",137820
"HIRE ONE PERSONNEL SERVICES OF WASHINGTON DC LLC","Federal Mine Safety and Health Review Commission",638408.81
"T F S GROUP INC","Federal Mine Safety and Health Review Commission",436294.16
"QWEST GOVERNMENT SERVICES INC","Federal Mine Safety and Health Review Commission",307492.53
"PROJECT SUPPORT SERVICES INC","Federal Mine Safety and Health Review Commission",255648.23
"CENERO LLC","Federal Mine Safety and Health Review Commission",244703
"CAPITAL REPORTING COMPANY","Federal Mine Safety and Health Review Commission",200000
"J KENT & ASSOCIATES INC","Federal Mine Safety and Health Review Commission",162287.68
"CITIBANK NA","Federal Mine Safety and Health Review Commission",160582.23
"WEST PUBLISHING CORPORATION","Federal Mine Safety and Health Review Commission",156071.04
"AGRICULTURE UNITED STATES DEPARTMENT OF","Federal Mine Safety and Health Review Commission",88164
"PATHFINDER CONSULTANTS LLC","Federal Motor Carrier Safety Administration",999198.18
"AMYX DEFENSE LOGISTICS","Federal Motor Carrier Safety Administration",876751.66
"CELLCO PARTNERSHIP DBA VERIZON WIRELESS","Federal Motor Carrier Safety Administration",863159.34
"REGULATORY GROUP INC THE","Federal Motor Carrier Safety Administration",715527.99
"ASPEN OF DC INC","Federal Motor Carrier Safety Administration",676577.79
"POWERSOLV INC","Federal Motor Carrier Safety Administration",637004.03
"MAINEWAY SERVICES","Federal Motor Carrier Safety Administration",603000
"MILLENNIUM GROUP INTERNATIONAL LLC THE","Federal Motor Carrier Safety Administration",589660
"BATTELLE MEMORIAL INSTITUTE","Federal Motor Carrier Safety Administration",503608
"UNITED PARCEL SERVICE CO","Federal Motor Carrier Safety Administration",485000
"NASHVILLE WIRE PRODUCTS MANUFACTURING COMPANY LLC","Federal Prison Industries / Unicor",971887.7
"NAVISTAR INC","Federal Prison Industries / Unicor",948081.98
"FORMICA CORPORATION","Federal Prison Industries / Unicor",935335.8
"JCL ELECTRONICS INC","Federal Prison Industries / Unicor",896442.29
"WILSONART INTERNATIONAL INC","Federal Prison Industries / Unicor",880410.3
"JORTEX INC","Federal Prison Industries / Unicor",877349.3
"PRECISION ENVIRONMENTS INC","Federal Prison Industries / Unicor",872450
"FAST FEET INC","Federal Prison Industries / Unicor",829612
"MACK DEFENSE LLC","Federal Prison Industries / Unicor",810820.64
"EMERGENCY TECHNOLOGY INC","Federal Prison Industries / Unicor",779565.5
"ATTIC CORRECTIONAL SERVICES INC THE","Federal Prison System / Bureau of Prisons",998117.35
"JACKSON ENERGY COOPERATIVE CORPORATION","Federal Prison System / Bureau of Prisons",993336.02
"SANTEE ELECTRIC COOPERATIVE INC","Federal Prison System / Bureau of Prisons",989301.96
"COUNSELING SERVICE OF ED NY INC","Federal Prison System / Bureau of Prisons",980198
"SOUTH KENTUCKY RURAL ELECTRIC COOPERATIVE CORPORATION","Federal Prison System / Bureau of Prisons",969470.54
"RTS LANDFILL INC","Federal Prison System / Bureau of Prisons",966527.13
"DANBURY CITY OF","Federal Prison System / Bureau of Prisons",966508.84
"PREMIER AND COMPANIES INCORPORATED","Federal Prison System / Bureau of Prisons",960269.34
"WEST VIRGINIA UNIVERSITY MEDICAL CORPORATION","Federal Prison System / Bureau of Prisons",949797.55
"NATIONAL INDUSTRIES FOR THE BL","Federal Prison System / Bureau of Prisons",945481.77
"FULCRUM CORPORATION","Federal Railroad Administration",982336.8
"VIRE CONSULTING INC","Federal Railroad Administration",961816.7
"ANDRO COMPUTATIONAL SOLUTIONS LLC","Federal Railroad Administration",887108.34
"CORYS THUNDER INC","Federal Railroad Administration",856300
"LUNARLINE INC","Federal Railroad Administration",849702.33
"BANCLAB","Federal Railroad Administration",834160.88
"CDW GOVERNMENT INC","Federal Railroad Administration",767902.61
"EYP INC","Federal Railroad Administration",722740.08
"BOOZ ALLEN HAMILTON INC","Federal Railroad Administration",721582.44
"FOSTER-MILLER INC","Federal Railroad Administration",716451.92
"TIC SECURITY LLC","Federal Trade Commission",936007.63
"HB & COMPANY INC","Federal Trade Commission",907865.06
"MRF CONSULTING LLC","Federal Trade Commission",749217.25
"SPECTRUM MANAGEMENT LLC","Federal Trade Commission",733458.5
"FOR THE RECORD INC","Federal Trade Commission",733300
"EVIGILANTCOM INCORPORATED","Federal Trade Commission",706205.23
"CDW GOVERNMENT LLC","Federal Trade Commission",684362.79
"INTERIMAGE INC","Federal Trade Commission",675839.51
"BARNALLEN TECHNOLOGIES INC","Federal Trade Commission",638151.6
"IRON MOUNTAIN INFORMATION MANAGEMENT LLC","Federal Trade Commission",633319.05
"MACROSYS LLC","Federal Transit Administration",988036.8
"PLANIT NOW LIMITED LIABILITY COMPANY","Federal Transit Administration",954585.81
"RESOURCE SYSTEMS GROUP INC","Federal Transit Administration",937350.49
"PLANNERS COLLABORATIVE INC","Federal Transit Administration",917824.74
"ANIL VERMA ASSOCIATES INC","Federal Transit Administration",825000
"REID CONSULTING LLC","Federal Transit Administration",739014.15
"PMO PARTNERSHIP JV LLC","Federal Transit Administration",730000
"STANTEC CONSULTING SERVICES INC","Federal Transit Administration",722000
"HALVIK CORP","Federal Transit Administration",709673
"HAMILTON SAMLIN MILLIGAN LLC","Federal Transit Administration",688898.3
"NEW TECH SOLUTIONS INC","Financial Crime Enforcement Network",866296.18
"CATAPULT TECHNOLOGY LIMITED","Financial Crime Enforcement Network",789024
"DYNAMIC SYSTEMS INC","Financial Crime Enforcement Network",751392.07
"CARAHSOFT TECHNOLOGY CORPORATION","Financial Crime Enforcement Network",731039.13
"WATERSHED SECURITY LLC","Financial Crime Enforcement Network",624852
"GOVERNMENT WORKS INC","Financial Crime Enforcement Network",594845.48
"PANAMERICA COMPUTERS INC","Financial Crime Enforcement Network",528373.89
"AT&T MOBILITY LLC","Financial Crime Enforcement Network",479372.35
"GALLUP INC","Financial Crime Enforcement Network",453257.6
"INFINISOURCE CONSULTING SOLUTIONS INC","Financial Crime Enforcement Network",442810.4
"CONCEPTANT INC","Food and Drug Administration",998415.17
"CCS ASSOCIATES INC","Food and Drug Administration",991936.94
"LYME COMPUTER SYSTEMS INC","Food and Drug Administration",971053.68
"COZZOLI MACHINE COMPANY","Food and Drug Administration",957462
"BANNEKER VENTURES LLC","Food and Drug Administration",956425
"NIELSEN COMPANY US LLC THE","Food and Drug Administration",950790
"LIQUOR COMMISSION NEW HAMPSHIRE","Food and Drug Administration",950695.72
"WESTAT INC","Food and Drug Administration",949536
"ASSURED INFORMATION SYSTEMS LTD","Food and Drug Administration",939487.89
"FIRST FEDERAL CORPORATION","Food and Drug Administration",933815.04
"SEW FRIEL LLC","Food and Nutrition Service",996393.6
"DEB EL FOOD PRODUCTS LLC","Food and Nutrition Service",965094.21
"PW MONTGOMERY LLC","Food and Nutrition Service",930165.6
"ALTARUM INSTITUTE","Food and Nutrition Service",909186.73
"JACK BROWN PRODUCE INC","Food and Nutrition Service",898890.16
"COUNTERPOINTE SOLUTIONS INC","Food and Nutrition Service",896317.94
"SYNOPTOS INC","Food and Nutrition Service",885341.26
"CHALLENGE DAIRY PRODUCTS INC","Food and Nutrition Service",880205.52
"NEWBURG EGG CORP","Food and Nutrition Service",871984.77
