State_code,cfda_number,program_title,types_of_assistance,objectives,beneficiary_eligability,level_of_detail,level_of_focus_on_homelessness,category,program_website,CFDA_website,fed_funding
ND,10.558,Child and Adult Care Food Program,A - FORMULA GRANTS,"To assist States, through grants-in-aid and other means, to initiate and maintain nonprofit food service programs for children and elderly or impaired adults enrolled in nonresidential day care facilities, children attending afterschool care programs in low-income areas, and children residing in emergency shelters. The United States Department of Agriculture (USDA) operates CACFP in partnership with State administering agencies to provide aid to child and adult care sponsoring organizations, centers, and day care homes for the provision of nutritious foods that contribute to the wellness, healthy growth, and development of young children, and the health and wellness of older adults and chronically impaired disabled persons. Funds are also made available to the States for expenses associated with CACFP administration.","Approved institutions providing nonresidential day care services may participate in CACFP. Eligible public and nonprofit private organizations may include day care centers, outside-school-hours care centers, family day care homes, and Head Start programs. Private for-profit centers may also participate if at least 25 percent of the children in care (enrolled or licensed capacity, whichever is less) are eligible for free or reduced price school meals or receive benefits under Title XX of the Social Security Act. Also eligible for participation are nonprofit centers which provide nonresidential adult day care, and private for-profit centers if the center receives compensation under Title XIX of the Social Security Act or Title XX, and at least 25 percent of the adults enrolled in the center receive benefits under Title XIX, Title XX, or a combination of both. Emergency shelters which provide shelter and meals to children experiencing homelessness and at-risk after school care programs in low-income areas are also eligible. Any eligible institution may participate in CACFP upon request with State agency approval.",State,2,Food,http://fns.usda.gov,https://cfda.gov/index?s=program&mode=form&tab=step1&id=1e97fff15f45e2ad57e5751494b73480,1329950
OH,10.558,Child and Adult Care Food Program,A - FORMULA GRANTS,"To assist States, through grants-in-aid and other means, to initiate and maintain nonprofit food service programs for children and elderly or impaired adults enrolled in nonresidential day care facilities, children attending afterschool care programs in low-income areas, and children residing in emergency shelters. The United States Department of Agriculture (USDA) operates CACFP in partnership with State administering agencies to provide aid to child and adult care sponsoring organizations, centers, and day care homes for the provision of nutritious foods that contribute to the wellness, healthy growth, and development of young children, and the health and wellness of older adults and chronically impaired disabled persons. Funds are also made available to the States for expenses associated with CACFP administration.","Approved institutions providing nonresidential day care services may participate in CACFP. Eligible public and nonprofit private organizations may include day care centers, outside-school-hours care centers, family day care homes, and Head Start programs. Private for-profit centers may also participate if at least 25 percent of the children in care (enrolled or licensed capacity, whichever is less) are eligible for free or reduced price school meals or receive benefits under Title XX of the Social Security Act. Also eligible for participation are nonprofit centers which provide nonresidential adult day care, and private for-profit centers if the center receives compensation under Title XIX of the Social Security Act or Title XX, and at least 25 percent of the adults enrolled in the center receive benefits under Title XIX, Title XX, or a combination of both. Emergency shelters which provide shelter and meals to children experiencing homelessness and at-risk after school care programs in low-income areas are also eligible. Any eligible institution may participate in CACFP upon request with State agency approval.",State,2,Food,http://fns.usda.gov,https://cfda.gov/index?s=program&mode=form&tab=step1&id=1e97fff15f45e2ad57e5751494b73480,-707761.93
OK,10.558,Child and Adult Care Food Program,A - FORMULA GRANTS,"To assist States, through grants-in-aid and other means, to initiate and maintain nonprofit food service programs for children and elderly or impaired adults enrolled in nonresidential day care facilities, children attending afterschool care programs in low-income areas, and children residing in emergency shelters. The United States Department of Agriculture (USDA) operates CACFP in partnership with State administering agencies to provide aid to child and adult care sponsoring organizations, centers, and day care homes for the provision of nutritious foods that contribute to the wellness, healthy growth, and development of young children, and the health and wellness of older adults and chronically impaired disabled persons. Funds are also made available to the States for expenses associated with CACFP administration.","Approved institutions providing nonresidential day care services may participate in CACFP. Eligible public and nonprofit private organizations may include day care centers, outside-school-hours care centers, family day care homes, and Head Start programs. Private for-profit centers may also participate if at least 25 percent of the children in care (enrolled or licensed capacity, whichever is less) are eligible for free or reduced price school meals or receive benefits under Title XX of the Social Security Act. Also eligible for participation are nonprofit centers which provide nonresidential adult day care, and private for-profit centers if the center receives compensation under Title XIX of the Social Security Act or Title XX, and at least 25 percent of the adults enrolled in the center receive benefits under Title XIX, Title XX, or a combination of both. Emergency shelters which provide shelter and meals to children experiencing homelessness and at-risk after school care programs in low-income areas are also eligible. Any eligible institution may participate in CACFP upon request with State agency approval.",State,2,Food,http://fns.usda.gov,https://cfda.gov/index?s=program&mode=form&tab=step1&id=1e97fff15f45e2ad57e5751494b73480,2316271.58
OR,10.558,Child and Adult Care Food Program,A - FORMULA GRANTS,"To assist States, through grants-in-aid and other means, to initiate and maintain nonprofit food service programs for children and elderly or impaired adults enrolled in nonresidential day care facilities, children attending afterschool care programs in low-income areas, and children residing in emergency shelters. The United States Department of Agriculture (USDA) operates CACFP in partnership with State administering agencies to provide aid to child and adult care sponsoring organizations, centers, and day care homes for the provision of nutritious foods that contribute to the wellness, healthy growth, and development of young children, and the health and wellness of older adults and chronically impaired disabled persons. Funds are also made available to the States for expenses associated with CACFP administration.","Approved institutions providing nonresidential day care services may participate in CACFP. Eligible public and nonprofit private organizations may include day care centers, outside-school-hours care centers, family day care homes, and Head Start programs. Private for-profit centers may also participate if at least 25 percent of the children in care (enrolled or licensed capacity, whichever is less) are eligible for free or reduced price school meals or receive benefits under Title XX of the Social Security Act. Also eligible for participation are nonprofit centers which provide nonresidential adult day care, and private for-profit centers if the center receives compensation under Title XIX of the Social Security Act or Title XX, and at least 25 percent of the adults enrolled in the center receive benefits under Title XIX, Title XX, or a combination of both. Emergency shelters which provide shelter and meals to children experiencing homelessness and at-risk after school care programs in low-income areas are also eligible. Any eligible institution may participate in CACFP upon request with State agency approval.",State,2,Food,http://fns.usda.gov,https://cfda.gov/index?s=program&mode=form&tab=step1&id=1e97fff15f45e2ad57e5751494b73480,3068461.25
PA,10.558,Child and Adult Care Food Program,A - FORMULA GRANTS,"To assist States, through grants-in-aid and other means, to initiate and maintain nonprofit food service programs for children and elderly or impaired adults enrolled in nonresidential day care facilities, children attending afterschool care programs in low-income areas, and children residing in emergency shelters. The United States Department of Agriculture (USDA) operates CACFP in partnership with State administering agencies to provide aid to child and adult care sponsoring organizations, centers, and day care homes for the provision of nutritious foods that contribute to the wellness, healthy growth, and development of young children, and the health and wellness of older adults and chronically impaired disabled persons. Funds are also made available to the States for expenses associated with CACFP administration.","Approved institutions providing nonresidential day care services may participate in CACFP. Eligible public and nonprofit private organizations may include day care centers, outside-school-hours care centers, family day care homes, and Head Start programs. Private for-profit centers may also participate if at least 25 percent of the children in care (enrolled or licensed capacity, whichever is less) are eligible for free or reduced price school meals or receive benefits under Title XX of the Social Security Act. Also eligible for participation are nonprofit centers which provide nonresidential adult day care, and private for-profit centers if the center receives compensation under Title XIX of the Social Security Act or Title XX, and at least 25 percent of the adults enrolled in the center receive benefits under Title XIX, Title XX, or a combination of both. Emergency shelters which provide shelter and meals to children experiencing homelessness and at-risk after school care programs in low-income areas are also eligible. Any eligible institution may participate in CACFP upon request with State agency approval.",State,2,Food,http://fns.usda.gov,https://cfda.gov/index?s=program&mode=form&tab=step1&id=1e97fff15f45e2ad57e5751494b73480,14263677.1
PA,14.241,Housing Opportunities for Persons with AIDS,"A - Formula Grants, B - Project Grants",To provide States and localities with the resources and incentives to devise long-term comprehensive strategies for meeting the supportive housing needs of low-income persons and their families living with HIV/AIDS in order to prevent homelessness and sustain housing stability for HOPWA program beneficiaries.,Eligible beneficiaries are low income (at or below 80% the area median income) persons living with HIV/AIDS and their families.,States,3,Housing,https://www.hudexchange.info/programs/hopwa/,https://cfda.gov/index?s=program&mode=form&tab=step1&id=7804e82c0586341663b38c9b2844ad4b,735136
RI,14.241,Housing Opportunities for Persons with AIDS,"A - Formula Grants, B - Project Grants",To provide States and localities with the resources and incentives to devise long-term comprehensive strategies for meeting the supportive housing needs of low-income persons and their families living with HIV/AIDS in order to prevent homelessness and sustain housing stability for HOPWA program beneficiaries.,Eligible beneficiaries are low income (at or below 80% the area median income) persons living with HIV/AIDS and their families.,States,3,Housing,https://www.hudexchange.info/programs/hopwa/,https://cfda.gov/index?s=program&mode=form&tab=step1&id=7804e82c0586341663b38c9b2844ad4b,1781009.32
RI,10.558,Child and Adult Care Food Program,A - FORMULA GRANTS,"To assist States, through grants-in-aid and other means, to initiate and maintain nonprofit food service programs for children and elderly or impaired adults enrolled in nonresidential day care facilities, children attending afterschool care programs in low-income areas, and children residing in emergency shelters. The United States Department of Agriculture (USDA) operates CACFP in partnership with State administering agencies to provide aid to child and adult care sponsoring organizations, centers, and day care homes for the provision of nutritious foods that contribute to the wellness, healthy growth, and development of young children, and the health and wellness of older adults and chronically impaired disabled persons. Funds are also made available to the States for expenses associated with CACFP administration.","Approved institutions providing nonresidential day care services may participate in CACFP. Eligible public and nonprofit private organizations may include day care centers, outside-school-hours care centers, family day care homes, and Head Start programs. Private for-profit centers may also participate if at least 25 percent of the children in care (enrolled or licensed capacity, whichever is less) are eligible for free or reduced price school meals or receive benefits under Title XX of the Social Security Act. Also eligible for participation are nonprofit centers which provide nonresidential adult day care, and private for-profit centers if the center receives compensation under Title XIX of the Social Security Act or Title XX, and at least 25 percent of the adults enrolled in the center receive benefits under Title XIX, Title XX, or a combination of both. Emergency shelters which provide shelter and meals to children experiencing homelessness and at-risk after school care programs in low-income areas are also eligible. Any eligible institution may participate in CACFP upon request with State agency approval.",State,2,Food,http://fns.usda.gov,https://cfda.gov/index?s=program&mode=form&tab=step1&id=1e97fff15f45e2ad57e5751494b73480,9455382.48
SC,10.558,Child and Adult Care Food Program,A - FORMULA GRANTS,"To assist States, through grants-in-aid and other means, to initiate and maintain nonprofit food service programs for children and elderly or impaired adults enrolled in nonresidential day care facilities, children attending afterschool care programs in low-income areas, and children residing in emergency shelters. The United States Department of Agriculture (USDA) operates CACFP in partnership with State administering agencies to provide aid to child and adult care sponsoring organizations, centers, and day care homes for the provision of nutritious foods that contribute to the wellness, healthy growth, and development of young children, and the health and wellness of older adults and chronically impaired disabled persons. Funds are also made available to the States for expenses associated with CACFP administration.","Approved institutions providing nonresidential day care services may participate in CACFP. Eligible public and nonprofit private organizations may include day care centers, outside-school-hours care centers, family day care homes, and Head Start programs. Private for-profit centers may also participate if at least 25 percent of the children in care (enrolled or licensed capacity, whichever is less) are eligible for free or reduced price school meals or receive benefits under Title XX of the Social Security Act. Also eligible for participation are nonprofit centers which provide nonresidential adult day care, and private for-profit centers if the center receives compensation under Title XIX of the Social Security Act or Title XX, and at least 25 percent of the adults enrolled in the center receive benefits under Title XIX, Title XX, or a combination of both. Emergency shelters which provide shelter and meals to children experiencing homelessness and at-risk after school care programs in low-income areas are also eligible. Any eligible institution may participate in CACFP upon request with State agency approval.",State,2,Food,http://fns.usda.gov,https://cfda.gov/index?s=program&mode=form&tab=step1&id=1e97fff15f45e2ad57e5751494b73480,2966397
SD,10.558,Child and Adult Care Food Program,A - FORMULA GRANTS,"To assist States, through grants-in-aid and other means, to initiate and maintain nonprofit food service programs for children and elderly or impaired adults enrolled in nonresidential day care facilities, children attending afterschool care programs in low-income areas, and children residing in emergency shelters. The United States Department of Agriculture (USDA) operates CACFP in partnership with State administering agencies to provide aid to child and adult care sponsoring organizations, centers, and day care homes for the provision of nutritious foods that contribute to the wellness, healthy growth, and development of young children, and the health and wellness of older adults and chronically impaired disabled persons. Funds are also made available to the States for expenses associated with CACFP administration.","Approved institutions providing nonresidential day care services may participate in CACFP. Eligible public and nonprofit private organizations may include day care centers, outside-school-hours care centers, family day care homes, and Head Start programs. Private for-profit centers may also participate if at least 25 percent of the children in care (enrolled or licensed capacity, whichever is less) are eligible for free or reduced price school meals or receive benefits under Title XX of the Social Security Act. Also eligible for participation are nonprofit centers which provide nonresidential adult day care, and private for-profit centers if the center receives compensation under Title XIX of the Social Security Act or Title XX, and at least 25 percent of the adults enrolled in the center receive benefits under Title XIX, Title XX, or a combination of both. Emergency shelters which provide shelter and meals to children experiencing homelessness and at-risk after school care programs in low-income areas are also eligible. Any eligible institution may participate in CACFP upon request with State agency approval.",State,2,Food,http://fns.usda.gov,https://cfda.gov/index?s=program&mode=form&tab=step1&id=1e97fff15f45e2ad57e5751494b73480,688023.68
TN,10.558,Child and Adult Care Food Program,A - FORMULA GRANTS,"To assist States, through grants-in-aid and other means, to initiate and maintain nonprofit food service programs for children and elderly or impaired adults enrolled in nonresidential day care facilities, children attending afterschool care programs in low-income areas, and children residing in emergency shelters. The United States Department of Agriculture (USDA) operates CACFP in partnership with State administering agencies to provide aid to child and adult care sponsoring organizations, centers, and day care homes for the provision of nutritious foods that contribute to the wellness, healthy growth, and development of young children, and the health and wellness of older adults and chronically impaired disabled persons. Funds are also made available to the States for expenses associated with CACFP administration.","Approved institutions providing nonresidential day care services may participate in CACFP. Eligible public and nonprofit private organizations may include day care centers, outside-school-hours care centers, family day care homes, and Head Start programs. Private for-profit centers may also participate if at least 25 percent of the children in care (enrolled or licensed capacity, whichever is less) are eligible for free or reduced price school meals or receive benefits under Title XX of the Social Security Act. Also eligible for participation are nonprofit centers which provide nonresidential adult day care, and private for-profit centers if the center receives compensation under Title XIX of the Social Security Act or Title XX, and at least 25 percent of the adults enrolled in the center receive benefits under Title XIX, Title XX, or a combination of both. Emergency shelters which provide shelter and meals to children experiencing homelessness and at-risk after school care programs in low-income areas are also eligible. Any eligible institution may participate in CACFP upon request with State agency approval.",State,2,Food,http://fns.usda.gov,https://cfda.gov/index?s=program&mode=form&tab=step1&id=1e97fff15f45e2ad57e5751494b73480,5416841.55
TX,10.558,Child and Adult Care Food Program,A - FORMULA GRANTS,"To assist States, through grants-in-aid and other means, to initiate and maintain nonprofit food service programs for children and elderly or impaired adults enrolled in nonresidential day care facilities, children attending afterschool care programs in low-income areas, and children residing in emergency shelters. The United States Department of Agriculture (USDA) operates CACFP in partnership with State administering agencies to provide aid to child and adult care sponsoring organizations, centers, and day care homes for the provision of nutritious foods that contribute to the wellness, healthy growth, and development of young children, and the health and wellness of older adults and chronically impaired disabled persons. Funds are also made available to the States for expenses associated with CACFP administration.","Approved institutions providing nonresidential day care services may participate in CACFP. Eligible public and nonprofit private organizations may include day care centers, outside-school-hours care centers, family day care homes, and Head Start programs. Private for-profit centers may also participate if at least 25 percent of the children in care (enrolled or licensed capacity, whichever is less) are eligible for free or reduced price school meals or receive benefits under Title XX of the Social Security Act. Also eligible for participation are nonprofit centers which provide nonresidential adult day care, and private for-profit centers if the center receives compensation under Title XIX of the Social Security Act or Title XX, and at least 25 percent of the adults enrolled in the center receive benefits under Title XIX, Title XX, or a combination of both. Emergency shelters which provide shelter and meals to children experiencing homelessness and at-risk after school care programs in low-income areas are also eligible. Any eligible institution may participate in CACFP upon request with State agency approval.",State,2,Food,http://fns.usda.gov,https://cfda.gov/index?s=program&mode=form&tab=step1&id=1e97fff15f45e2ad57e5751494b73480,27819813.29
UT,14.241,Housing Opportunities for Persons with AIDS,"A - Formula Grants, B - Project Grants",To provide States and localities with the resources and incentives to devise long-term comprehensive strategies for meeting the supportive housing needs of low-income persons and their families living with HIV/AIDS in order to prevent homelessness and sustain housing stability for HOPWA program beneficiaries.,Eligible beneficiaries are low income (at or below 80% the area median income) persons living with HIV/AIDS and their families.,States,3,Housing,https://www.hudexchange.info/programs/hopwa/,https://cfda.gov/index?s=program&mode=form&tab=step1&id=7804e82c0586341663b38c9b2844ad4b,957437
UT,10.558,Child and Adult Care Food Program,A - FORMULA GRANTS,"To assist States, through grants-in-aid and other means, to initiate and maintain nonprofit food service programs for children and elderly or impaired adults enrolled in nonresidential day care facilities, children attending afterschool care programs in low-income areas, and children residing in emergency shelters. The United States Department of Agriculture (USDA) operates CACFP in partnership with State administering agencies to provide aid to child and adult care sponsoring organizations, centers, and day care homes for the provision of nutritious foods that contribute to the wellness, healthy growth, and development of young children, and the health and wellness of older adults and chronically impaired disabled persons. Funds are also made available to the States for expenses associated with CACFP administration.","Approved institutions providing nonresidential day care services may participate in CACFP. Eligible public and nonprofit private organizations may include day care centers, outside-school-hours care centers, family day care homes, and Head Start programs. Private for-profit centers may also participate if at least 25 percent of the children in care (enrolled or licensed capacity, whichever is less) are eligible for free or reduced price school meals or receive benefits under Title XX of the Social Security Act. Also eligible for participation are nonprofit centers which provide nonresidential adult day care, and private for-profit centers if the center receives compensation under Title XIX of the Social Security Act or Title XX, and at least 25 percent of the adults enrolled in the center receive benefits under Title XIX, Title XX, or a combination of both. Emergency shelters which provide shelter and meals to children experiencing homelessness and at-risk after school care programs in low-income areas are also eligible. Any eligible institution may participate in CACFP upon request with State agency approval.",State,2,Food,http://fns.usda.gov,https://cfda.gov/index?s=program&mode=form&tab=step1&id=1e97fff15f45e2ad57e5751494b73480,2154476.38
VT,10.558,Child and Adult Care Food Program,A - FORMULA GRANTS,"To assist States, through grants-in-aid and other means, to initiate and maintain nonprofit food service programs for children and elderly or impaired adults enrolled in nonresidential day care facilities, children attending afterschool care programs in low-income areas, and children residing in emergency shelters. The United States Department of Agriculture (USDA) operates CACFP in partnership with State administering agencies to provide aid to child and adult care sponsoring organizations, centers, and day care homes for the provision of nutritious foods that contribute to the wellness, healthy growth, and development of young children, and the health and wellness of older adults and chronically impaired disabled persons. Funds are also made available to the States for expenses associated with CACFP administration.","Approved institutions providing nonresidential day care services may participate in CACFP. Eligible public and nonprofit private organizations may include day care centers, outside-school-hours care centers, family day care homes, and Head Start programs. Private for-profit centers may also participate if at least 25 percent of the children in care (enrolled or licensed capacity, whichever is less) are eligible for free or reduced price school meals or receive benefits under Title XX of the Social Security Act. Also eligible for participation are nonprofit centers which provide nonresidential adult day care, and private for-profit centers if the center receives compensation under Title XIX of the Social Security Act or Title XX, and at least 25 percent of the adults enrolled in the center receive benefits under Title XIX, Title XX, or a combination of both. Emergency shelters which provide shelter and meals to children experiencing homelessness and at-risk after school care programs in low-income areas are also eligible. Any eligible institution may participate in CACFP upon request with State agency approval.",State,2,Food,http://fns.usda.gov,https://cfda.gov/index?s=program&mode=form&tab=step1&id=1e97fff15f45e2ad57e5751494b73480,6974224.6
VA,10.558,Child and Adult Care Food Program,A - FORMULA GRANTS,"To assist States, through grants-in-aid and other means, to initiate and maintain nonprofit food service programs for children and elderly or impaired adults enrolled in nonresidential day care facilities, children attending afterschool care programs in low-income areas, and children residing in emergency shelters. The United States Department of Agriculture (USDA) operates CACFP in partnership with State administering agencies to provide aid to child and adult care sponsoring organizations, centers, and day care homes for the provision of nutritious foods that contribute to the wellness, healthy growth, and development of young children, and the health and wellness of older adults and chronically impaired disabled persons. Funds are also made available to the States for expenses associated with CACFP administration.","Approved institutions providing nonresidential day care services may participate in CACFP. Eligible public and nonprofit private organizations may include day care centers, outside-school-hours care centers, family day care homes, and Head Start programs. Private for-profit centers may also participate if at least 25 percent of the children in care (enrolled or licensed capacity, whichever is less) are eligible for free or reduced price school meals or receive benefits under Title XX of the Social Security Act. Also eligible for participation are nonprofit centers which provide nonresidential adult day care, and private for-profit centers if the center receives compensation under Title XIX of the Social Security Act or Title XX, and at least 25 percent of the adults enrolled in the center receive benefits under Title XIX, Title XX, or a combination of both. Emergency shelters which provide shelter and meals to children experiencing homelessness and at-risk after school care programs in low-income areas are also eligible. Any eligible institution may participate in CACFP upon request with State agency approval.",State,2,Food,http://fns.usda.gov,https://cfda.gov/index?s=program&mode=form&tab=step1&id=1e97fff15f45e2ad57e5751494b73480,4015257
WA,10.558,Child and Adult Care Food Program,A - FORMULA GRANTS,"To assist States, through grants-in-aid and other means, to initiate and maintain nonprofit food service programs for children and elderly or impaired adults enrolled in nonresidential day care facilities, children attending afterschool care programs in low-income areas, and children residing in emergency shelters. The United States Department of Agriculture (USDA) operates CACFP in partnership with State administering agencies to provide aid to child and adult care sponsoring organizations, centers, and day care homes for the provision of nutritious foods that contribute to the wellness, healthy growth, and development of young children, and the health and wellness of older adults and chronically impaired disabled persons. Funds are also made available to the States for expenses associated with CACFP administration.","Approved institutions providing nonresidential day care services may participate in CACFP. Eligible public and nonprofit private organizations may include day care centers, outside-school-hours care centers, family day care homes, and Head Start programs. Private for-profit centers may also participate if at least 25 percent of the children in care (enrolled or licensed capacity, whichever is less) are eligible for free or reduced price school meals or receive benefits under Title XX of the Social Security Act. Also eligible for participation are nonprofit centers which provide nonresidential adult day care, and private for-profit centers if the center receives compensation under Title XIX of the Social Security Act or Title XX, and at least 25 percent of the adults enrolled in the center receive benefits under Title XIX, Title XX, or a combination of both. Emergency shelters which provide shelter and meals to children experiencing homelessness and at-risk after school care programs in low-income areas are also eligible. Any eligible institution may participate in CACFP upon request with State agency approval.",State,2,Food,http://fns.usda.gov,https://cfda.gov/index?s=program&mode=form&tab=step1&id=1e97fff15f45e2ad57e5751494b73480,4176448.42
WV,14.241,Housing Opportunities for Persons with AIDS,"A - Formula Grants, B - Project Grants",To provide States and localities with the resources and incentives to devise long-term comprehensive strategies for meeting the supportive housing needs of low-income persons and their families living with HIV/AIDS in order to prevent homelessness and sustain housing stability for HOPWA program beneficiaries.,Eligible beneficiaries are low income (at or below 80% the area median income) persons living with HIV/AIDS and their families.,States,3,Housing,https://www.hudexchange.info/programs/hopwa/,https://cfda.gov/index?s=program&mode=form&tab=step1&id=7804e82c0586341663b38c9b2844ad4b,351514.97
WV,10.558,Child and Adult Care Food Program,A - FORMULA GRANTS,"To assist States, through grants-in-aid and other means, to initiate and maintain nonprofit food service programs for children and elderly or impaired adults enrolled in nonresidential day care facilities, children attending afterschool care programs in low-income areas, and children residing in emergency shelters. The United States Department of Agriculture (USDA) operates CACFP in partnership with State administering agencies to provide aid to child and adult care sponsoring organizations, centers, and day care homes for the provision of nutritious foods that contribute to the wellness, healthy growth, and development of young children, and the health and wellness of older adults and chronically impaired disabled persons. Funds are also made available to the States for expenses associated with CACFP administration.","Approved institutions providing nonresidential day care services may participate in CACFP. Eligible public and nonprofit private organizations may include day care centers, outside-school-hours care centers, family day care homes, and Head Start programs. Private for-profit centers may also participate if at least 25 percent of the children in care (enrolled or licensed capacity, whichever is less) are eligible for free or reduced price school meals or receive benefits under Title XX of the Social Security Act. Also eligible for participation are nonprofit centers which provide nonresidential adult day care, and private for-profit centers if the center receives compensation under Title XIX of the Social Security Act or Title XX, and at least 25 percent of the adults enrolled in the center receive benefits under Title XIX, Title XX, or a combination of both. Emergency shelters which provide shelter and meals to children experiencing homelessness and at-risk after school care programs in low-income areas are also eligible. Any eligible institution may participate in CACFP upon request with State agency approval.",State,2,Food,http://fns.usda.gov,https://cfda.gov/index?s=program&mode=form&tab=step1&id=1e97fff15f45e2ad57e5751494b73480,1579247.91
WI,10.558,Child and Adult Care Food Program,A - FORMULA GRANTS,"To assist States, through grants-in-aid and other means, to initiate and maintain nonprofit food service programs for children and elderly or impaired adults enrolled in nonresidential day care facilities, children attending afterschool care programs in low-income areas, and children residing in emergency shelters. The United States Department of Agriculture (USDA) operates CACFP in partnership with State administering agencies to provide aid to child and adult care sponsoring organizations, centers, and day care homes for the provision of nutritious foods that contribute to the wellness, healthy growth, and development of young children, and the health and wellness of older adults and chronically impaired disabled persons. Funds are also made available to the States for expenses associated with CACFP administration.","Approved institutions providing nonresidential day care services may participate in CACFP. Eligible public and nonprofit private organizations may include day care centers, outside-school-hours care centers, family day care homes, and Head Start programs. Private for-profit centers may also participate if at least 25 percent of the children in care (enrolled or licensed capacity, whichever is less) are eligible for free or reduced price school meals or receive benefits under Title XX of the Social Security Act. Also eligible for participation are nonprofit centers which provide nonresidential adult day care, and private for-profit centers if the center receives compensation under Title XIX of the Social Security Act or Title XX, and at least 25 percent of the adults enrolled in the center receive benefits under Title XIX, Title XX, or a combination of both. Emergency shelters which provide shelter and meals to children experiencing homelessness and at-risk after school care programs in low-income areas are also eligible. Any eligible institution may participate in CACFP upon request with State agency approval.",State,2,Food,http://fns.usda.gov,https://cfda.gov/index?s=program&mode=form&tab=step1&id=1e97fff15f45e2ad57e5751494b73480,2138079.12
WY,10.558,Child and Adult Care Food Program,A - FORMULA GRANTS,"To assist States, through grants-in-aid and other means, to initiate and maintain nonprofit food service programs for children and elderly or impaired adults enrolled in nonresidential day care facilities, children attending afterschool care programs in low-income areas, and children residing in emergency shelters. The United States Department of Agriculture (USDA) operates CACFP in partnership with State administering agencies to provide aid to child and adult care sponsoring organizations, centers, and day care homes for the provision of nutritious foods that contribute to the wellness, healthy growth, and development of young children, and the health and wellness of older adults and chronically impaired disabled persons. Funds are also made available to the States for expenses associated with CACFP administration.","Approved institutions providing nonresidential day care services may participate in CACFP. Eligible public and nonprofit private organizations may include day care centers, outside-school-hours care centers, family day care homes, and Head Start programs. Private for-profit centers may also participate if at least 25 percent of the children in care (enrolled or licensed capacity, whichever is less) are eligible for free or reduced price school meals or receive benefits under Title XX of the Social Security Act. Also eligible for participation are nonprofit centers which provide nonresidential adult day care, and private for-profit centers if the center receives compensation under Title XIX of the Social Security Act or Title XX, and at least 25 percent of the adults enrolled in the center receive benefits under Title XIX, Title XX, or a combination of both. Emergency shelters which provide shelter and meals to children experiencing homelessness and at-risk after school care programs in low-income areas are also eligible. Any eligible institution may participate in CACFP upon request with State agency approval.",State,2,Food,http://fns.usda.gov,https://cfda.gov/index?s=program&mode=form&tab=step1&id=1e97fff15f45e2ad57e5751494b73480,447475.25
AS,84.403,Consolidated Grant to the Outlying Areas,A - Formula Grants,"To make an annual consolidated grant to assist an Insular Area in carrying out one or more State-administered formula grant programs of the Department. (i.e., -ESEA,Title I, Part A-Improving Basic Programs Operated by Local Educational Agencies; ESEA Title I, Part B-State Assessment Grants; ; ESEA,Title II, Part A-Supporting Effective Instruction; ESEA,Title III, Part A-English Language Acquisition, Language Enhancement, and Academic Achievement Grants; ESEA Title IV, Part A- Student Support and Academic Enrichment Grants; ESEA, Title IV, Part B-21st Century Community Learning Centers Grants; Perkins Act, Title I-Career and Technical Education Basic State Grants;- McKinney-Vento Homeless Assistance Act-Title VII-B Grants; ESEA, Title V, Part B, Rural and Low-Income School Program.",Contact Program Office.,State,3,Education,http://www.ed.gov/about/offices/list/oese/sst/index.html,https://cfda.gov/index?s=program&mode=form&tab=step1&id=fb8694ad73932df52e64ec466e0b8338,18633389
GU,84.403,Consolidated Grant to the Outlying Areas,A - Formula Grants,"To make an annual consolidated grant to assist an Insular Area in carrying out one or more State-administered formula grant programs of the Department. (i.e., -ESEA,Title I, Part A-Improving Basic Programs Operated by Local Educational Agencies; ESEA Title I, Part B-State Assessment Grants; ; ESEA,Title II, Part A-Supporting Effective Instruction; ESEA,Title III, Part A-English Language Acquisition, Language Enhancement, and Academic Achievement Grants; ESEA Title IV, Part A- Student Support and Academic Enrichment Grants; ESEA, Title IV, Part B-21st Century Community Learning Centers Grants; Perkins Act, Title I-Career and Technical Education Basic State Grants;- McKinney-Vento Homeless Assistance Act-Title VII-B Grants; ESEA, Title V, Part B, Rural and Low-Income School Program.",Contact Program Office.,State,3,Education,http://www.ed.gov/about/offices/list/oese/sst/index.html,https://cfda.gov/index?s=program&mode=form&tab=step1&id=fb8694ad73932df52e64ec466e0b8338,41071745
