"Agency","Subagency","accountID","Title","Obligation"
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2132,"Consumer Operated Oriented Plan Program Contingency Fund, Centers for Medicare and Medicaid Services, Health and Human Services",18671931.8
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2082,"Consumer Operated and Oriented Plan Program Account, Centers for Medicare and Medicaid Services, Health and Human Services",81471046.09
"Department of Health and Human Services","Administration for Children and Families",2195,"Emergency Contingency Fund for State Temporary Assistance for Needy Family Programs - Recovery Act, Administration for Children and Families, Health and Human Services",0
"Department of Health and Human Services","Administration for Children and Families",2187,"Payments to States for Child Support Enforcement and Family Support Programs, Administration for Children and Families, Health and Human Services",4454364922.71
"Department of Health and Human Services","Departmental Management",2096,"Payment to the State Response to the Opioid Abuse Crisis Account, CURES Act, Departmental Administration, Health and Human Services",500000000
"Department of Health and Human Services","Departmental Management",2221,"State Response to the Opioid Abuse Crisis, CURES Act, Departmental Administration, Health and Human Services",0
"Department of Health and Human Services","Departmental Management",2090,"Office of the National Coordinator for Health Information Technology - Recovery Act, Office of the Secretary, Health and Human Services",0
"Department of Health and Human Services","Departmental Management",2080,"Prevention and Public Health Fund, Departmental Management, Health and Human Services",0
"Department of Health and Human Services","Program Support Center",2181,"Scientific Activities Overseas, Special Foreign Currency Program, Assistant Secretary for Health, Health and Human Services",0
"Department of Health and Human Services","Program Support Center",2182,"Public Health Emergency Fund, Public Health Services, Office of Assistant Secretary for Health, Health and Human Services",0
"Department of Health and Human Services","Program Support Center",2212,"HHS Service and Supply Fund, Program Support Center, Health and Human Services",1616959834.12
"Department of Health and Human Services","Program Support Center",2239,"Contributions, Indian Health Facilities, Indian Health Services, Health and Human Services",13441216.35
"Department of Health and Human Services","Program Support Center",2241,"Food and Drug Administration Unconditional Gift Fund",0
"Department of Health and Human Services","Program Support Center",2242,"National Institutes of Health Unconditional Gift Fund, Health and Human Services",3796016.13
"Department of Health and Human Services","Program Support Center",2243,"Unconditional Gift Fund, Health Resources and Services Administration, Health and Human Services",0
"Department of Health and Human Services","Program Support Center",2244,"Gifts and Donations, Centers for Disease Control, Health and Human Services",23618999.45
"Department of Health and Human Services","Program Support Center",2245,"National Institutes of Health Conditional Gift Fund, Health and Human Services",50081951.18
"Department of Health and Human Services","Program Support Center",2246,"Conditional Gift Fund, Health Resources and Services Administration, Health and Human Services",0
"Department of Health and Human Services","Program Support Center",2255,"Patients' Benefit Fund, National Institutes of Health, Health and Human Services",8314
"Department of Health and Human Services","Program Support Center",2256,"Patients' Benefit Fund, Health Resources and Services Administration, Health and Human Services",3135.84
"Department of Health and Human Services","Program Support Center",2250,"Administration on Aging Gift Fund, Health and Human Services",0
"Department of Health and Human Services","Program Support Center",2251,"Indian Health Service Gift Fund, Health and Human Services",37915.16
"Department of Health and Human Services","Program Support Center",2252,"Agency for Healthcare Research and Quality Gift Fund, Health and Human Services",1107419.54
"Department of Health and Human Services","Program Support Center",2253,"Substance Abuse and Mental Health Administration Gift Fund, Health and Human Services",0
"Department of Health and Human Services","Program Support Center",2254,"Office of the Secretary Gift Fund, Health and Human Services",0
"Department of Health and Human Services","Office of the Inspector General",2088,"Office of Inspector General - Recovery Act, Office of the Secretary, Health and Human Services",0
"Department of Homeland Security","Office of the Secretary and Executive Management",1859,"Counterterrorism Fund, Departmental Management and Operations, Homeland Security",0
"Department of Homeland Security","Office of the Secretary and Executive Management",1991,"Gifts and Donations, Department Management, Homeland Security",0
"Department of Homeland Security","Office of the Under Secretary for Management",1860,"Department-Wide Technology Investments, Departmental Management, Homeland Security",17628483.23
"Department of Homeland Security","Office of the Under Secretary for Management",1934,"Research and Development, Departmental Management and Operations, Homeland Security",2310624.29
"Department of Homeland Security","Office of the Under Secretary for Management",1947,"Working Capital Fund Departmental Management, Homeland Security",538180539.33
"Department of Homeland Security","Office of the Inspector General",1868,"Office of Inspector General - Recovery Act, Homeland Security",0
"Department of Homeland Security","U.S. Customs and Border Protection",1884,"Customs and Border Protection, USCS",412711.15
"Department of Homeland Security","U.S. Customs and Border Protection",1970,"Customs and Border Protection Services at User Fee Facilities, U.S. Customs and Border Protection, Homeland Security",23935308.19
"Department of Homeland Security","U.S. Customs and Border Protection",1950,"Customs and Border Protection, Immigration User Fees, Border and Transportation Security, Homeland Security",674214463.23
"Department of Homeland Security","U.S. Customs and Border Protection",1952,"Customs and Border Protection, Land Border Inspection Fees, Border and Transportation Security, Homeland Security",53661000
"Department of Homeland Security","U.S. Customs and Border Protection",1961,"Immigration Enforcement Account, Border and Transportation Security, Homeland Security",1492554.94
"Department of Homeland Security","U.S. Customs and Border Protection",1971,"Customs and Border Protection, Customs User Fees Account, USCS, Homeland Security",737187426.09
"Department of Homeland Security","U.S. Customs and Border Protection",1997,"Customs and Border Protection, Violent Crime Reduction Trust Fund, USCS, Homeland Security",0
"Department of Homeland Security","U.S. Customs and Border Protection",2002,"Harbor Maintenance Fee Collection, USCS, Homeland Security",3274000
"Department of Homeland Security","U.S. Customs and Border Protection",1948,"Advanced Training Center Revolving Fund, U.S. Customs and Border Protection, Homeland Security",0
"Department of Homeland Security","U.S. Customs and Border Protection",1945,"Enhanced Inspectional Services, U.S. Customs and Border Protection, Homeland Security",18868244.98
"Department of Homeland Security","U.S. Customs and Border Protection",1969,"Customs and Border Protection, Transfer and Expenses of Operation, Puerto Rico, USCS, Homeland Security",104217405.6
"Department of Homeland Security","U.S. Customs and Border Protection",1962,"Payments to Wool Manufacturers, United States Customs and Border Protection, Homeland Security",1460000
"Department of Homeland Security","U.S. Customs and Border Protection",1964,"International Registered Traveler Program Fund, U.S. Customs and Border Protection, Homeland Security",122359980.4
"Department of Homeland Security","U.S. Customs and Border Protection",1967,"Electronic System for Travel Authorization, U.S. Customs and Border Protection, Homeland Security",68419682.91
"Department of Homeland Security","U.S. Customs and Border Protection",1966,"APEC Business Travel Card Account, Customs and Border Protection, Homeland Security",0
"Department of Homeland Security","U.S. Customs and Border Protection",1973,"9-11 Response and Biometric Exit Account, U.S. Customs and Border Protection, Homeland Security",70669262.13
"Department of Homeland Security","U.S. Customs and Border Protection",2001,"Refunds, Transfers and Expenses, Abandoned and Seized Goods, USCS, Homeland Security",1477532.2
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",1885,"Immigration and Customs Enforcement, Border and Transportation Security, Homeland Security",0
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",1955,"Student and Exchange Visitor Program, Border and Transportation Security, Homeland Security",164469941
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",2000,"Violent Crime Reduction Program, Immigration Services, Homeland Security",0
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",1954,"Breach Bond/Detention Fund, Border and Transportation Security, Homeland Security",54903028.86
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",1956,"Immigration User Fee Account, BICE, Homeland Security",152160218.3
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",1963,"Detention and Removal Operations, U.S. Immigration and Customs Enforcement, Homeland Security",1555584.52
"Department of Homeland Security","Transportation Security Administration",1887,"Expenses, Transportation Security Administration, Border and Transportation Security, Homeland Security",986.61
"Department of Homeland Security","Transportation Security Administration",1959,"Unclaimed Checkpoint Money, Transportation Security Administration, Homeland Security",32483.5
"Department of Homeland Security","Transportation Security Administration",1965,"Airport Checkpoint Screening Fund, Transportation Security Administration, Homeland Security",6180204.08
"Department of Homeland Security","Transportation Security Administration",1904,"Research and Development, Transportation Security Administration, Border and Transportation Security, Homeland Security",0
"Department of Homeland Security","Transportation Security Administration",1877,"Procurement, Construction, and Improvements, Transportation Security Administration, Homeland Security",201570840.33
"Department of Homeland Security","Transportation Security Administration",1957,"Aviation Security Capital Fund, Transportation Security Administration, Homeland Security",245069818.5
"Department of Homeland Security","Transportation Security Administration",1935,"Research and Development,Transportation Security Administration, Homeland Security",4800000
"Department of Homeland Security","United States Coast Guard",1917,"Alteration of Bridges, Coast Guard, Homeland Security",0
"Department of Homeland Security","United States Coast Guard",1919,"Medicare-Eligible Retiree Health Fund Contribution, United States Coast Guard, Homeland Security",175506151
"Department of Homeland Security","United States Coast Guard",1912,"Retired Pay, Coast Guard, Homeland Security",1630354241.08
"Department of Homeland Security","United States Coast Guard",1946,"Supply Fund, USCG, Homeland Security",56646410.99
"Department of Homeland Security","United States Coast Guard",1949,"Yard Fund, USCG, Homeland Security",110854674.49
"Department of Homeland Security","United States Coast Guard",1988,"Sport Fish Restoration and Boating Trust Fund, Homeland Security",0
"Department of Homeland Security","United States Coast Guard",1989,"Boat Safety, USCG, Homeland Security",120862551.31
"Department of Homeland Security","United States Coast Guard",1993,"Trust Fund Share of Expenses, USCG, Homeland Security",45000000
"Department of Homeland Security","United States Coast Guard",1998,"General Gift Fund, USCG, Homeland Security",2248140.27
"Department of Homeland Security","United States Coast Guard",1990,"Oil Spill Liability Trust Fund-Treasury Managed, Homeland Security",112050
"Department of Homeland Security","United States Coast Guard",1994,"Oil Spill Recovery, USCG, Homeland Security",32609771.39
"Department of Homeland Security","United States Coast Guard",1992,"Payment of Claims (Oil Spill Liability Trust Fund), Homeland Security",13405433.2
"Department of Homeland Security","United States Secret Service",1874,"Contribution for Annuity Benefits, United States Secret Service, Homeland Security",211192111.21
"Department of Homeland Security","United States Secret Service",1937,"Research and Development, United States Secret Service, Homeland Securty",1750000
"Department of Homeland Security","National Protection and Programs Directorate",1943,"Operating Expenses, Information Analysis and Infrastructure Protection, Homeland Security",0
"Department of Homeland Security","National Protection and Programs Directorate",1898,"Federal Protective Service, National Protection and Programs Directorate, Homeland Security",1418133524.18
"Department of Homeland Security","National Protection and Programs Directorate",1938,"Research and Development, National Protection and Programs Directorate, Homeland Security",6452825.69
"Department of Homeland Security","Federal Emergency Management Agency",1890,"Office of Domestic Preparedness, Federal Emergency Management Agency, Homeland Security",0
"Department of Homeland Security","Federal Emergency Management Agency",1883,"Flood Hazard Mapping and Risk Analysis Program, Federal Emergency Management Agency, Homeland Security",26459958.41
"Department of Homeland Security","Federal Emergency Management Agency",1944,"National Flood Insurance Fund, Federal Emergency Management Agency, Homeland Security",5247116066
"Department of Homeland Security","Federal Emergency Management Agency",1972,"National Flood Insurance Reserve Fund, Homeland Security",1652406903.43
"Department of Homeland Security","Federal Emergency Management Agency",1929,"National Predisaster Mitigation Fund, Federal Emergency Management Agency, Homeland Security",63473643.33
"Department of Homeland Security","Federal Emergency Management Agency",1921,"Grant Programs, Emergency Preparedness and Response, Homeland Security",0
"Department of Homeland Security","Federal Emergency Management Agency",1924,"Emergency Food and Shelter, Federal Emergency Management Agency, Homeland Security",0
"Department of Homeland Security","Federal Emergency Management Agency",1925,"Preparedness, Mitigation, Response, and Recovery, Federal Emergency Management Agency, Homeland Security",0
"Department of Homeland Security","Federal Emergency Management Agency",1926,"Administrative and Regional Operations, Emergency Preparedness and Response, Homeland Security",0
"Department of Homeland Security","Federal Emergency Management Agency",1923,"Disaster Assistance Direct Loan Program Account, Federal Emergency Management Agency, Homeland Security",13796049.34
"Department of Homeland Security","Federal Emergency Management Agency",1881,"Procurement, Construction, and Improvements, Federal Emergency Management Agency, Homeland Security",27112290.4
"Department of Homeland Security","Citizenship and Immigration Services",1951,"Immigration Examination Fees, Immigration Services, Homeland Security",3797549752.87
"Department of Homeland Security","Citizenship and Immigration Services",1953,"Immigration Services, H-1 B Funded, Homeland Security",13979999.45
"Department of Homeland Security","Citizenship and Immigration Services",1958,"H-1B and L Fraud Prevention and Detection Account, Citizenship and Immigration Services, Homeland Security",45263415.61
"Department of Homeland Security","Citizenship and Immigration Services",1876,"Procurement, Construction, and Improvements, United States Citizenship and Immigration Services, Homeland Security",15226999.82
"Department of Homeland Security","Science and Technology",1936,"Research and Development, Science and Technology, Homeland Security",368246452.68
"Department of Homeland Security","Domestic Nuclear Detection Office",1878,"Federal Assistance, Domestic Nuclear Detection Office, Homeland Security",25387688.4
"Department of Housing and Urban Development","Public and Indian Housing Programs",2328,"Prevention of Resident Displacement, Housing Programs, Housing and Urban Development",0
"Department of Housing and Urban Development","Public and Indian Housing Programs",2333,"Housing Certificate Fund, Public and Indian Housing, Housing and Urban Development",64663836
"Department of Housing and Urban Development","Public and Indian Housing Programs",2310,"Drug Elimination Grants for Low-Income Housing, Housing Programs, Housing and Urban Development",0
"Department of Housing and Urban Development","Public and Indian Housing Programs",2317,"Indian Housing Loan Guarantee Fund Program Account, Public and Indian Housing, Housing and Urban Development",12889189.09
"Department of Housing and Urban Development","Public and Indian Housing Programs",2318,"Native Hawaiian Housing Loan Guarantee Fund Program Account, Public and Indian Housing, Housing and Urban Development",360431.86
"Department of Housing and Urban Development","Community Planning and Development",2331,"Empowerment Zones/Enterprise Communities, Community Planning and Development, Housing and Urban Development",0
"Department of Housing and Urban Development","Community Planning and Development",2330,"Brownfields Redevelopment, Community Planning and Development, Housing and Urban Development",0
"Department of Housing and Urban Development","Community Planning and Development",2383,"Housing Trust Fund, Community Planning and Development, Housing and Urban Development",217083911.59
"Department of Housing and Urban Development","Community Planning and Development",2350,"Neighborhood Stabilization Program, Community Planning and Development, Housing and Urban Development",12926450.11
"Department of Housing and Urban Development","Community Planning and Development",2348,"Permanent Supportive Housing, Housing and Urban Development",0
"Department of Housing and Urban Development","Community Planning and Development",2335,"Rural Housing and Economic Development, Public and Indian Housing, Housing and Urban Development",0
"Department of Housing and Urban Development","Community Planning and Development",2361,"Revolving Fund, Liquidating Programs, Housing and Urban Development",6347.4
"Department of Housing and Urban Development","Community Planning and Development",2369,"Section 8-Community Development Guaranteed Loans, Liquidating Account, Housing and Urban Development",0
"Department of Housing and Urban Development","Housing Programs",2357,"Energy Innovation Fund, Housing Programs, Housing and Urban Development",0
"Department of Housing and Urban Development","Housing Programs",2359,"Emergency Homeowner's Relief Fund, Housing Programs, Housing and Urban Development",0
"Department of Housing and Urban Development","Housing Programs",2365,"College Housing Loans, Housing and Urban Development",0
"Department of Housing and Urban Development","Housing Programs",2297,"Rental Housing Assistance, Housing Programs, Housing and Urban Development",18047749.87
"Department of Housing and Urban Development","Housing Programs",2294,"Rent Supplement, Housing Programs, Housing and Urban Development",4237236.22
"Department of Housing and Urban Development","Housing Programs",2309,"Homeownership and Opportunity for People Everywhere Grants (HOPE Grants), Housing Programs, Housing and Urban Development",0
"Department of Housing and Urban Development","Housing Programs",2362,"Rental Housing Assistance Fund, Federal Housing Administration, Housing and Urban Development",0
"Department of Housing and Urban Development","Housing Programs",2364,"Flexible Subsidy Fund, Housing Programs, Housing and Urban Development",0
"Department of Housing and Urban Development","Housing Programs",2349,"Home Ownership Preservation Entity Fund Program Account, Housing and Urban Development",0
"Department of Housing and Urban Development","Housing Programs",2367,"Nehemiah Housing Opportunity Fund, Housing and Urban Development",0
"Department of Housing and Urban Development","Housing Programs",2321,"FHA, Mutual Mortgage Insurance Capital Reserve Account, Housing and Urban Development",0
"Department of Housing and Urban Development","Housing Programs",2366,"Federal Housing Administration Fund, Housing and Urban Development",19574943.52
"Department of Housing and Urban Development","Housing Programs",2312,"General and Special Risk Program Account, Federal Housing Administration, Housing and Urban Development",4318101482.44
"Department of Housing and Urban Development","Housing Programs",2368,"FHA-General and Special Risk Insurance Fund Liquidating Account, Housing and Urban Development",55463026.37
"Department of Housing and Urban Development","Housing Programs",2371,"Housing for the Elderly or Handicapped Fund, Housing and Urban Development",2283595.62
"Department of Housing and Urban Development","Housing Programs",2382,"Manufactured Housing Fees Trust Fund, Housing Programs, Housing and Urban Development",10789774.58
"Department of Housing and Urban Development","Government National Mortgage Association",2323,"Guarantees of Mortgage-Backed Securities Capital Reserve Account, Government National Mortgage Association, Housing and Urban Development",0
"Department of Housing and Urban Development","Government National Mortgage Association",2372,"Guarantees of Mortgage-Backed Securities Fund, Government National Mortgage Association, Housing and Urban Development",502966
"Department of Housing and Urban Development","Management and Administration",2336,"Administration, Operations, and Management-Recovery Act, Housing and Urban Development",1257.2
"Department of Housing and Urban Development","Management and Administration",2351,"Personnel Compensation and Benefits - Recovery Act, Office of Public and Indian Housing, Housing and Urban Development",0
"Department of Housing and Urban Development","Management and Administration",2352,"Personnel Compensation and Benefits - Recovery Act, Community Planning and Development, Housing and Urban Development",0
"Department of Housing and Urban Development","Management and Administration",2353,"Personnel Compensation and Benefits - Recovery Act, Office of Lead Hazard Control and Healthy Homes, Housing and Urban Development",0
"Department of Housing and Urban Development","Management and Administration",2295,"Salaries and Expenses, Management and Administration, Housing and Urban Development",672846.63
"Department of Housing and Urban Development","Management and Administration",2307,"Office of Inspector General-Recovery Act, Management and Administration, Housing and Urban Development",0
"Department of Housing and Urban Development","Management and Administration",2373,"Working Capital Fund - Recovery Act, Departmental Management, Housing and Urban Development",0
"Department of Housing and Urban Development","Management and Administration",2375,"Working Capital Fund, Management and Administration, Housing and Urban Development",41690314.1
"Department of Housing and Urban Development","Management and Administration",2381,"Gifts and Bequests, Housing and Urban Development",0
"Department of the Interior","Bureau of Land Management",635,"Abandoned Well Remediation Fund, Bureau of Land Management, Interior",10856640.63
"Department of the Interior","Bureau of Land Management",659,"Land Acquisition, Bureau of Land Management",23907442.66
"Department of the Interior","Bureau of Land Management",683,"Range Improvements, Bureau of Land Management",7208233.27
"Department of the Interior","Bureau of Land Management",654,"Service Charges, Deposits and Forfeitures, Bureau of Land Management",25477652.27
"Department of the Interior","Bureau of Land Management",722,"Lincoln County Land Act, Bureau of Land Management",1900534.72
"Department of the Interior","Bureau of Land Management",715,"Recreation Enhancement Fee Program, Bureau of Land Management",20582043.86
"Department of the Interior","Bureau of Land Management",707,"Timber Sales Pipeline Restoration Fund, Bureau of Land Management",4881057.59
"Department of the Interior","Bureau of Land Management",693,"Forest Ecosystems Health and Recovery, Bureau of Land Management",6645441.88
"Department of the Interior","Bureau of Land Management",663,"Operation and Maintenance of Quarters, Bureau of Land Management",705076.97
"Department of the Interior","Bureau of Land Management",655,"Expenses, Road Maintenance Deposits, Bureau of Land Management",3055296.23
"Department of the Interior","Bureau of Land Management",712,"Use of Receipts from Mineral Leasing Activities on Certain Naval Oil Shale Reserves, Bureau of Land Management",0
"Department of the Interior","Bureau of Land Management",737,"Stewardship Contracting Product Sales, Bureau of Land Management",100730.52
"Department of the Interior","Bureau of Land Management",749,"Geothermal Steam Implementation Fund",0
"Department of the Interior","Bureau of Land Management",750,"Naval Petroleum Reserve Numbered 2 Lease Revenue Account",2343.86
"Department of the Interior","Bureau of Land Management",713,"White Pine County Special Account, Bureau of Land Management",50193.44
"Department of the Interior","Bureau of Land Management",741,"Washington County, Utah Land Acquisition Account, Bureau of Land Management, Interior",0
"Department of the Interior","Bureau of Land Management",742,"Owyhee Land Acquisition Account, Bureau of Land Management, Interior",13500
"Department of the Interior","Bureau of Land Management",743,"Carson City Special Account, Bureau of Land Management, Interior",278.31
"Department of the Interior","Bureau of Land Management",744,"Silver Saddle Endowment Account, Bureau of Land Management, Interior",0
"Department of the Interior","Bureau of Land Management",753,"Ojito Land Acquisition, Interior",0
"Department of the Interior","Bureau of Land Management",681,"Payments to State and County from Clark County, Nevada Land Sales, Bureau of Land Management",14193467.4
"Department of the Interior","Bureau of Land Management",731,"Title II Projects on Federal Lands, Bureau of Land Management",3485277.58
"Department of the Interior","Bureau of Land Management",595,"Cook Inlet Region, Incorporated Property Account, Bureau of Land Management",0
"Department of the Interior","Bureau of Land Management",653,"Payments to States from Grazing Receipts, Etc., Public Lands Outside Grazing Districts, Bureau of Land Management",1215281.12
"Department of the Interior","Bureau of Land Management",658,"Payments to States from Grazing Receipts, Etc., Public Lands within Grazing Districts, Bureau of Land Management",1700550.6
"Department of the Interior","Bureau of Land Management",661,"Payments to States from Grazing Receipts, Etc., Public Lands within Grazing Districts, Miscellaneous, Bureau of Land Management",202259.37
"Department of the Interior","Bureau of Land Management",684,"Payments to States (Proceeds of Sales), Bureau of Land Management",780139.91
"Department of the Interior","Bureau of Land Management",762,"Payments to Counties, Oregon and California Grant Lands, Bureau of Land Management",18802430.06
"Department of the Interior","Bureau of Land Management",763,"Payments to Counties, National Grasslands, Bureau of Land Management",359404.79
"Department of the Interior","Bureau of Land Management",764,"Payments to Coos and Douglas Counties, Oregon, from Receipts, Coos Bay Wagon Road Grant Lands, Bureau of Land Management",262221.59
"Department of the Interior","Bureau of Land Management",745,"State Share, Carson City Land Sales, Bureau of Land Management, Interior",0
"Department of the Interior","Bureau of Land Management",639,"Helium Fund, Bureau of Land Management",11660269.92
"Department of the Interior","Bureau of Land Management",647,"Working Capital Fund, Bureau of Land Management",64878483.3
"Department of the Interior","Bureau of Land Management",787,"Land and Resources Management Trust Fund, Bureau of Land Management",18153864.8
"Department of the Interior","Bureau of Safety and Environmental Enforcement",794,"Oil Spill Research, Bureau of Safety and Environmental Enforcement, Interior",15455523.07
"Department of the Interior","Bureau of Safety and Environmental Enforcement",617,"Oil Spill Research, Bureau of Safety and Environmental Enforcement",0
"Department of the Interior","Office of Surface Mining Reclamation and Enforcement",671,"Regulation and Technology, Civil Penalties, Office of Surface Mining Reclamation and Enforcement",770350
"Department of the Interior","Office of Surface Mining Reclamation and Enforcement",652,"Abandoned Mine Reclamation Fund, Office of Surface Mining Reclamation and Enforcement",214770314.59
"Department of the Interior","Office of Surface Mining Reclamation and Enforcement",614,"Payments in Lieu of Coal Fee Receipts, Office of Surface Mining Reclamation and Enforcement",52902323.61
"Department of the Interior","Office of Surface Mining Reclamation and Enforcement",615,"Supplemental Payments to UMWA Health Plans, Office of Surface Mining Reclamation and Enforcement",263409126.05
"Department of the Interior","Bureau of Reclamation",679,"Recreation Enhancement Fee Program, Bureau of Reclamation",718426.63
"Department of the Interior","Bureau of Reclamation",667,"Operation and Maintenance of Quarters, Bureau of Reclamation, Interior",435779.95
"Department of the Interior","Bureau of Reclamation",669,"Operation, Maintenance, and Replacement of Project Works, North Platte Project (Gering and Fort Laramie, Goshen, and Pathfinder Irrigation Districts), Bureau of Reclamation",92860
"Department of the Interior","Bureau of Reclamation",670,"Payments to Farmers' Irrigation District (North Platte Project, Neb.-Wyo.), Bureau of Reclamation",7488
"Department of the Interior","Bureau of Reclamation",677,"Payments to Local Units, Klamath Reclamation Area, Bureau of Reclamation",486400.44
"Department of the Interior","Bureau of Reclamation",717,"Water and Related Resources, Reclamation Fund, Bureau of Reclamation",0
"Department of the Interior","Bureau of Reclamation",578,"California Bay-Delta Restoration, Bureau of Reclamation, Interior",39817080.16
"Department of the Interior","Bureau of Reclamation",634,"Taos Settlement Fund, Bureau of Reclamation, Interior",0
"Department of the Interior","Bureau of Reclamation",752,"Reclamation Water Settlements Fund, Bureau of Reclamation, Interior",734.03
"Department of the Interior","Bureau of Reclamation",695,"Central Valley Project Restoration Fund, Bureau of Reclamation",54910268.63
"Department of the Interior","Bureau of Reclamation",755,"Colorado River Dam Fund, Boulder Canyon Project, Bureau of Reclamation",91038102.4
"Department of the Interior","Bureau of Reclamation",730,"San Gabriel Basin Restoration Fund, Bureau of Reclamation",0
"Department of the Interior","Bureau of Reclamation",740,"San Joaquin River Restoration Fund, Bureau of Reclamation, Interior",878586.39
"Department of the Interior","Bureau of Reclamation",640,"Lower Colorado River Basin Development Fund, Bureau of Reclamation",246328383.8
"Department of the Interior","Bureau of Reclamation",641,"Upper Colorado River Basin Fund, Bureau of Reclamation",204244122.11
"Department of the Interior","Bureau of Reclamation",646,"Working Capital Fund, Bureau of Reclamation",459817501.49
"Department of the Interior","Bureau of Reclamation",577,"Bureau of Reclamation Loans Program Account, Bureau of Reclamation, Interior",157.02
"Department of the Interior","Bureau of Reclamation",573,"Loan Program, Liquidating Account, Bureau of Reclamation, Interior",0
"Department of the Interior","Bureau of Reclamation",788,"Reclamation Trust Funds, Bureau of Reclamation",170862.05
"Department of the Interior","Central Utah Project",696,"Utah Reclamation Mitigation and Conservation Account, Interior",9567454.5
"Department of the Interior","United States Geological Survey",668,"Operation and Maintenance of Quarters, Geological Survey",48263.28
"Department of the Interior","United States Geological Survey",649,"Working Capital Fund, Geological Survey",85170142.56
"Department of the Interior","United States Geological Survey",795,"Contributed Funds, Geological Survey, Interior",827165.93
"Department of the Interior","Bureau of Mines",581,"Mines and Minerals, Bureau of Mines, Interior",0
"Department of the Interior","United States Fish and Wildlife Service",605,"Construction, United States Fish and Wildlife Service",19341571.04
"Department of the Interior","United States Fish and Wildlife Service",724,"State and Tribal Wildlife Grants, U.S. Fish and Wildlife Service",66837502.48
"Department of the Interior","United States Fish and Wildlife Service",608,"Multinational Species Conservation Fund, United States Fish and Wildlife Service",11760963.57
"Department of the Interior","United States Fish and Wildlife Service",732,"Exotic Bird Conservation Fund, U.S. Fish and Wildlife Service",0
"Department of the Interior","United States Fish and Wildlife Service",610,"Neotropical Migratory Bird Conservation, U.S. Fish and Wildlife Service",4529265.6
"Department of the Interior","United States Fish and Wildlife Service",656,"Land Acquisition, United States Fish and Wildlife Service",79868958.46
"Department of the Interior","United States Fish and Wildlife Service",734,"Landowner Incentive Program, U.S. Fish and Wildlife Service",968518.93
"Department of the Interior","United States Fish and Wildlife Service",733,"Private Stewardship Grants, U.S. Fish and Wildlife Service",25831.84
"Department of the Interior","United States Fish and Wildlife Service",686,"Migratory Bird Conservation Account, United States Fish and Wildlife Service",85569794.1
"Department of the Interior","United States Fish and Wildlife Service",701,"North American Wetlands Conservation Fund, United States Fish and Wildlife Service",70060907.53
"Department of the Interior","United States Fish and Wildlife Service",689,"Cooperative Endangered Species Conservation Fund, United States Fish and Wildlife Service",95977114.77
"Department of the Interior","United States Fish and Wildlife Service",728,"Cooperative Endangered Species Conservation Fund, from Land and Water Conservation Fund, U.S. Fish and Wildlife Service",35365384.74
"Department of the Interior","United States Fish and Wildlife Service",675,"National Wildlife Refuge Fund, United States Fish and Wildlife Service",11334589.18
"Department of the Interior","United States Fish and Wildlife Service",609,"National Wildlife Refuge Fund, United States Fish and Wildlife Service",13228000
"Department of the Interior","United States Fish and Wildlife Service",708,"Recreation Fee Enhancement Program, U.S. Fish and Wildlife Service",5853046.7
"Department of the Interior","United States Fish and Wildlife Service",657,"Federal Aid to Wildlife Restoration, United States Fish and Wildlife Service",825509462.48
"Department of the Interior","United States Fish and Wildlife Service",751,"Coastal Impact Assistance, Fish and Wildlife Service, Interior",8521382.08
"Department of the Interior","United States Fish and Wildlife Service",665,"Operation and Maintenance of Quarters, United States Fish and Wildlife Service",3112429.31
"Department of the Interior","United States Fish and Wildlife Service",676,"Proceeds from Sales, Water Resource Development Projects, United States Fish and Wildlife Service",269802.9
"Department of the Interior","United States Fish and Wildlife Service",690,"Lahontan Valley and Pyramid Lake Fish and Wildlife Fund, United States Fish and Wildlife Service",467780.47
"Department of the Interior","United States Fish and Wildlife Service",721,"Filming and Photography Fee Program, Fish and Wildlife Service, Interior",0
"Department of the Interior","United States Fish and Wildlife Service",735,"Community Partnership Enhancement, U.S. Fish and Wildlife Service",198816
"Department of the Interior","United States Fish and Wildlife Service",789,"Sport Fish Restoration Account, United States Fish and Wildlife Service",468959043.38
"Department of the Interior","United States Fish and Wildlife Service",791,"Contributed Funds, United States Fish and Wildlife Service",3926078.16
"Department of the Interior","National Park Service",636,"Centennial Challenge, National Park Service, Interior",2163358.18
"Department of the Interior","National Park Service",582,"Urban Park and Recreation Fund, National Park Service, Interior",0
"Department of the Interior","National Park Service",729,"Federal Infrastructure Improvement, from Land and Water Conservation Fund, National Park Service",0
"Department of the Interior","National Park Service",660,"Land Acquisition and State Assistance, National Park Service",157078043.88
"Department of the Interior","National Park Service",739,"Outer Continental Shelf Revenues, LWCF Share from Certain Leases, National Park Service",391893.1
"Department of the Interior","National Park Service",692,"Transportation Systems Fund, National Park Service",22297404.92
"Department of the Interior","National Park Service",680,"Recreation Enhancement Fee Program, National Park Service",247388531.27
