coc_number,coc_name,cfda_number,program_title,types_of_assistance,objectives,beneficiary_eligability,level_of_detail,level_of_focus_on_homelessness,category,program_website,CFDA_website,fed_funding
CA-601,San Diego City and County CoC,14.267,Continuum of Care Program,"B - Project Grants, C - Direct Payments for Specified Use","The program is designed to promote community-wide commitment to the goal of ending homelessness; provide funding for efforts by nonprofit providers, States, and local governments to quickly house homeless individuals and families while minimizing the trauma and dislocation caused to homeless individuals, families, and communities by homelessness; promote access to and effective utilization of mainstream programs by homeless individuals and families; and optimize self-sufficiency among individuals and families experiencing homelessness. Continuum of Care Program funds may be used to pay for the eligible costs used to establish and operate projects under five program components: (i) permanent housing, which includes permanent supportive housing for persons with disabilities, and rapid rehousing; (ii) transitional housing; (iii) supportive services only; (iv) Homeless Management Information Systems (HMIS), and (v) in some cases, homelessness prevention.","Homeless individuals and families with children; Recipients in Continuums of Care that have been designated by HUD as High Performing Communities (HPC) may serve persons determined to be at-risk of homelessness, based on criteria established through the present year Notice of Funding Availability (NOFA).",CoC,1,Housing,http://www.hudexchange.info/coc,https://cfda.gov/index?s=program&mode=form&tab=step1&id=15625a40a83ffcbd5d4b9362ccb0d1e1,20147878.49
CA-501,San Francisco CoC,64.024,VA Homeless Providers Grant and Per Diem Program,B - PROJECT GRANTS,"To assist public and nonprofit private entities in establishing new programs and service centers to furnish supportive services and supportive housing for homeless veterans through grants that may be used to acquire, renovate or alter facilities, and to provide per diem payments, to eligible entities that provide supportive services and supportive housing for homeless veterans.","Veterans, meaning a person who served in the active military, naval or air service, and who was discharged or released there from under conditions other than dishonorable.",CoC,1,Housing,http://www.va.gov/homeless/GPD.asp,https://cfda.gov/index?s=program&mode=form&tab=step1&id=67fc2accc0cc28afb7ef749bae599caf,1448711
CA-501,San Francisco CoC,14.267,Continuum of Care Program,"B - Project Grants, C - Direct Payments for Specified Use","The program is designed to promote community-wide commitment to the goal of ending homelessness; provide funding for efforts by nonprofit providers, States, and local governments to quickly house homeless individuals and families while minimizing the trauma and dislocation caused to homeless individuals, families, and communities by homelessness; promote access to and effective utilization of mainstream programs by homeless individuals and families; and optimize self-sufficiency among individuals and families experiencing homelessness. Continuum of Care Program funds may be used to pay for the eligible costs used to establish and operate projects under five program components: (i) permanent housing, which includes permanent supportive housing for persons with disabilities, and rapid rehousing; (ii) transitional housing; (iii) supportive services only; (iv) Homeless Management Information Systems (HMIS), and (v) in some cases, homelessness prevention.","Homeless individuals and families with children; Recipients in Continuums of Care that have been designated by HUD as High Performing Communities (HPC) may serve persons determined to be at-risk of homelessness, based on criteria established through the present year Notice of Funding Availability (NOFA).",CoC,1,Housing,http://www.hudexchange.info/coc,https://cfda.gov/index?s=program&mode=form&tab=step1&id=15625a40a83ffcbd5d4b9362ccb0d1e1,31170400.43
CA-501,San Francisco CoC,14.231,Emergency Solutions Grant Program,A - FORMULA GRANTS,"The ESG program provides funding to: (1) engage homeless individuals and families living on the street; (2) improve the number and quality of emergency shelters for homeless individuals and families; (3) help operate these shelters; (4) provide essential services to shelter residents, (5) rapidly re-house homeless individuals and families, and (6) prevent families and individuals from becoming homeless.","The minimum eligibility criteria for ESG beneficiaries are as follows: For essential services related to street outreach, beneficiaries must meet the criteria under paragraph (1)(i) of the “homeless” definition under § 576.2. For emergency shelter, beneficiaries must meet the “homeless” definition in 24 CFR 576.2. For essential services related to emergency shelter, beneficiaries must be “homeless” and staying in an emergency shelter (which could include a day shelter). For homelessness prevention assistance, beneficiaries must meet the requirements described in 24 CFR 576.103. For rapid re-housing assistance, beneficiaries must meet requirements described in 24 CFR 576.104. Further eligibility criteria may be established at the local level in accordance with 24 CFR 576.400(e).",CoC,1,Housing,http://www.hudexchange.info/esg,https://cfda.gov/index?s=program&mode=form&tab=step1&id=55c83b2b2f169cf8510b92ce1b8f0cfe,1484425
CA-500,San Jose/Santa Clara City & County CoC,14.231,Emergency Solutions Grant Program,A - FORMULA GRANTS,"The ESG program provides funding to: (1) engage homeless individuals and families living on the street; (2) improve the number and quality of emergency shelters for homeless individuals and families; (3) help operate these shelters; (4) provide essential services to shelter residents, (5) rapidly re-house homeless individuals and families, and (6) prevent families and individuals from becoming homeless.","The minimum eligibility criteria for ESG beneficiaries are as follows: For essential services related to street outreach, beneficiaries must meet the criteria under paragraph (1)(i) of the “homeless” definition under § 576.2. For emergency shelter, beneficiaries must meet the “homeless” definition in 24 CFR 576.2. For essential services related to emergency shelter, beneficiaries must be “homeless” and staying in an emergency shelter (which could include a day shelter). For homelessness prevention assistance, beneficiaries must meet the requirements described in 24 CFR 576.103. For rapid re-housing assistance, beneficiaries must meet requirements described in 24 CFR 576.104. Further eligibility criteria may be established at the local level in accordance with 24 CFR 576.400(e).",CoC,1,Housing,http://www.hudexchange.info/esg,https://cfda.gov/index?s=program&mode=form&tab=step1&id=55c83b2b2f169cf8510b92ce1b8f0cfe,1498827
CA-500,San Jose/Santa Clara City & County CoC,64.024,VA Homeless Providers Grant and Per Diem Program,B - PROJECT GRANTS,"To assist public and nonprofit private entities in establishing new programs and service centers to furnish supportive services and supportive housing for homeless veterans through grants that may be used to acquire, renovate or alter facilities, and to provide per diem payments, to eligible entities that provide supportive services and supportive housing for homeless veterans.","Veterans, meaning a person who served in the active military, naval or air service, and who was discharged or released there from under conditions other than dishonorable.",CoC,1,Housing,http://www.va.gov/homeless/GPD.asp,https://cfda.gov/index?s=program&mode=form&tab=step1&id=67fc2accc0cc28afb7ef749bae599caf,1354830
CA-602,Santa Ana/Anaheim/Orange County CoC,14.267,Continuum of Care Program,"B - Project Grants, C - Direct Payments for Specified Use","The program is designed to promote community-wide commitment to the goal of ending homelessness; provide funding for efforts by nonprofit providers, States, and local governments to quickly house homeless individuals and families while minimizing the trauma and dislocation caused to homeless individuals, families, and communities by homelessness; promote access to and effective utilization of mainstream programs by homeless individuals and families; and optimize self-sufficiency among individuals and families experiencing homelessness. Continuum of Care Program funds may be used to pay for the eligible costs used to establish and operate projects under five program components: (i) permanent housing, which includes permanent supportive housing for persons with disabilities, and rapid rehousing; (ii) transitional housing; (iii) supportive services only; (iv) Homeless Management Information Systems (HMIS), and (v) in some cases, homelessness prevention.","Homeless individuals and families with children; Recipients in Continuums of Care that have been designated by HUD as High Performing Communities (HPC) may serve persons determined to be at-risk of homelessness, based on criteria established through the present year Notice of Funding Availability (NOFA).",CoC,1,Housing,http://www.hudexchange.info/coc,https://cfda.gov/index?s=program&mode=form&tab=step1&id=15625a40a83ffcbd5d4b9362ccb0d1e1,19304319.43
CA-603,Santa Maria/Santa Barbara County CoC,64.024,VA Homeless Providers Grant and Per Diem Program,B - PROJECT GRANTS,"To assist public and nonprofit private entities in establishing new programs and service centers to furnish supportive services and supportive housing for homeless veterans through grants that may be used to acquire, renovate or alter facilities, and to provide per diem payments, to eligible entities that provide supportive services and supportive housing for homeless veterans.","Veterans, meaning a person who served in the active military, naval or air service, and who was discharged or released there from under conditions other than dishonorable.",CoC,1,Housing,http://www.va.gov/homeless/GPD.asp,https://cfda.gov/index?s=program&mode=form&tab=step1&id=67fc2accc0cc28afb7ef749bae599caf,294562
CA-508,Watsonville/Santa Cruz City & County CoC,14.267,Continuum of Care Program,"B - Project Grants, C - Direct Payments for Specified Use","The program is designed to promote community-wide commitment to the goal of ending homelessness; provide funding for efforts by nonprofit providers, States, and local governments to quickly house homeless individuals and families while minimizing the trauma and dislocation caused to homeless individuals, families, and communities by homelessness; promote access to and effective utilization of mainstream programs by homeless individuals and families; and optimize self-sufficiency among individuals and families experiencing homelessness. Continuum of Care Program funds may be used to pay for the eligible costs used to establish and operate projects under five program components: (i) permanent housing, which includes permanent supportive housing for persons with disabilities, and rapid rehousing; (ii) transitional housing; (iii) supportive services only; (iv) Homeless Management Information Systems (HMIS), and (v) in some cases, homelessness prevention.","Homeless individuals and families with children; Recipients in Continuums of Care that have been designated by HUD as High Performing Communities (HPC) may serve persons determined to be at-risk of homelessness, based on criteria established through the present year Notice of Funding Availability (NOFA).",CoC,1,Housing,http://www.hudexchange.info/coc,https://cfda.gov/index?s=program&mode=form&tab=step1&id=15625a40a83ffcbd5d4b9362ccb0d1e1,1783390.29
CA-603,Santa Maria/Santa Barbara County CoC,14.235,Supportive Housing Program,"B - PROJECT GRANTS, C - DIRECT PAYMENTS FOR A SPECIFIED USE","The Supportive Housing Program is designed to promote the development of supportive housing and supportive services to assist homeless individuals and families in the transition from homelessness and to enable them to live as independently as possible. Program funds may be used to provide: (i) transitional housing within a 24-month period as well as up to six months of follow-up services to former residents to assist their adjustment to independent living; (ii) permanent housing provided in conjunction with appropriate supportive services designed to maximize the ability of persons with disabilities to live as independently as possible; (iii) supportive housing that is, or is part of, a particularly innovative project for, or alternative method of, meeting the immediate and long-term needs of homeless individuals and families; (iv) supportive services for homeless individuals not provided in conjunction with supportive housing,(v) safe havens for homeless individuals with serious mental illness currently residing on the streets who may not yet be ready for supportive services; and (vi) Homeless Management Information Systems (HMIS) for developing management information systems to maintain data on beds, units and homeless individuals.",Homeless individuals and families with children.,CoC,1,Housing,http://www.hudexchange.info/shp,https://cfda.gov/index?s=program&mode=form&tab=step1&id=e8bccb4b9e5871bc750fa3843e66dcdf,-23585
CA-600,Los Angeles City & County CoC,14.238,Shelter Plus Care,B - PROJECT GRANTS,"The Shelter Plus Care Program provides rental assistance, in connection with supportive services funded from sources other than this program, to homeless persons with disabilities (primarily persons who are seriously mentally ill; have chronic problems with alcohol, drugs, or both, or have acquired immunodeficiency syndrome and related diseases) and their families. The program provides assistance through four components: (1) Tenant-based Rental Assistance (TRA); (2) Sponsor-based Rental Assistance (SRA); (3) Project-based Rental Assistance (PRA); (4) and Single Room Occupancy for Homeless Individuals (SRO).",Homeless persons with disabilities and their families. Except in single room occupancy dwellings that are only for homeless individuals with disabilities.,CoC,1,Housing,https://www.hudexchange.info/spc,https://cfda.gov/index?s=program&mode=form&tab=step1&id=2c6200c53d783128d143a1977a047db1,-4705169.16
CA-511,Stockton/San Joaquin County CoC,14.231,Emergency Solutions Grant Program,A - FORMULA GRANTS,"The ESG program provides funding to: (1) engage homeless individuals and families living on the street; (2) improve the number and quality of emergency shelters for homeless individuals and families; (3) help operate these shelters; (4) provide essential services to shelter residents, (5) rapidly re-house homeless individuals and families, and (6) prevent families and individuals from becoming homeless.","The minimum eligibility criteria for ESG beneficiaries are as follows: For essential services related to street outreach, beneficiaries must meet the criteria under paragraph (1)(i) of the “homeless” definition under § 576.2. For emergency shelter, beneficiaries must meet the “homeless” definition in 24 CFR 576.2. For essential services related to emergency shelter, beneficiaries must be “homeless” and staying in an emergency shelter (which could include a day shelter). For homelessness prevention assistance, beneficiaries must meet the requirements described in 24 CFR 576.103. For rapid re-housing assistance, beneficiaries must meet requirements described in 24 CFR 576.104. Further eligibility criteria may be established at the local level in accordance with 24 CFR 576.400(e).",CoC,1,Housing,http://www.hudexchange.info/esg,https://cfda.gov/index?s=program&mode=form&tab=step1&id=55c83b2b2f169cf8510b92ce1b8f0cfe,511862
CA-509,Mendocino County CoC,14.267,Continuum of Care Program,"B - Project Grants, C - Direct Payments for Specified Use","The program is designed to promote community-wide commitment to the goal of ending homelessness; provide funding for efforts by nonprofit providers, States, and local governments to quickly house homeless individuals and families while minimizing the trauma and dislocation caused to homeless individuals, families, and communities by homelessness; promote access to and effective utilization of mainstream programs by homeless individuals and families; and optimize self-sufficiency among individuals and families experiencing homelessness. Continuum of Care Program funds may be used to pay for the eligible costs used to establish and operate projects under five program components: (i) permanent housing, which includes permanent supportive housing for persons with disabilities, and rapid rehousing; (ii) transitional housing; (iii) supportive services only; (iv) Homeless Management Information Systems (HMIS), and (v) in some cases, homelessness prevention.","Homeless individuals and families with children; Recipients in Continuums of Care that have been designated by HUD as High Performing Communities (HPC) may serve persons determined to be at-risk of homelessness, based on criteria established through the present year Notice of Funding Availability (NOFA).",CoC,1,Housing,http://www.hudexchange.info/coc,https://cfda.gov/index?s=program&mode=form&tab=step1&id=15625a40a83ffcbd5d4b9362ccb0d1e1,1507020
CO-500,Colorado Balance of State CoC,64.024,VA Homeless Providers Grant and Per Diem Program,B - PROJECT GRANTS,"To assist public and nonprofit private entities in establishing new programs and service centers to furnish supportive services and supportive housing for homeless veterans through grants that may be used to acquire, renovate or alter facilities, and to provide per diem payments, to eligible entities that provide supportive services and supportive housing for homeless veterans.","Veterans, meaning a person who served in the active military, naval or air service, and who was discharged or released there from under conditions other than dishonorable.",CoC,1,Housing,http://www.va.gov/homeless/GPD.asp,https://cfda.gov/index?s=program&mode=form&tab=step1&id=67fc2accc0cc28afb7ef749bae599caf,118144
CO-503,Metropolitan Denver Homeless Initiative,64.024,VA Homeless Providers Grant and Per Diem Program,B - PROJECT GRANTS,"To assist public and nonprofit private entities in establishing new programs and service centers to furnish supportive services and supportive housing for homeless veterans through grants that may be used to acquire, renovate or alter facilities, and to provide per diem payments, to eligible entities that provide supportive services and supportive housing for homeless veterans.","Veterans, meaning a person who served in the active military, naval or air service, and who was discharged or released there from under conditions other than dishonorable.",CoC,1,Housing,http://www.va.gov/homeless/GPD.asp,https://cfda.gov/index?s=program&mode=form&tab=step1&id=67fc2accc0cc28afb7ef749bae599caf,3586944
CO-504,Colorado Springs/El Paso County CoC,14.231,Emergency Solutions Grant Program,A - FORMULA GRANTS,"The ESG program provides funding to: (1) engage homeless individuals and families living on the street; (2) improve the number and quality of emergency shelters for homeless individuals and families; (3) help operate these shelters; (4) provide essential services to shelter residents, (5) rapidly re-house homeless individuals and families, and (6) prevent families and individuals from becoming homeless.","The minimum eligibility criteria for ESG beneficiaries are as follows: For essential services related to street outreach, beneficiaries must meet the criteria under paragraph (1)(i) of the “homeless” definition under § 576.2. For emergency shelter, beneficiaries must meet the “homeless” definition in 24 CFR 576.2. For essential services related to emergency shelter, beneficiaries must be “homeless” and staying in an emergency shelter (which could include a day shelter). For homelessness prevention assistance, beneficiaries must meet the requirements described in 24 CFR 576.103. For rapid re-housing assistance, beneficiaries must meet requirements described in 24 CFR 576.104. Further eligibility criteria may be established at the local level in accordance with 24 CFR 576.400(e).",CoC,1,Housing,http://www.hudexchange.info/esg,https://cfda.gov/index?s=program&mode=form&tab=step1&id=55c83b2b2f169cf8510b92ce1b8f0cfe,474184
CO-504,Colorado Springs/El Paso County CoC,14.267,Continuum of Care Program,"B - Project Grants, C - Direct Payments for Specified Use","The program is designed to promote community-wide commitment to the goal of ending homelessness; provide funding for efforts by nonprofit providers, States, and local governments to quickly house homeless individuals and families while minimizing the trauma and dislocation caused to homeless individuals, families, and communities by homelessness; promote access to and effective utilization of mainstream programs by homeless individuals and families; and optimize self-sufficiency among individuals and families experiencing homelessness. Continuum of Care Program funds may be used to pay for the eligible costs used to establish and operate projects under five program components: (i) permanent housing, which includes permanent supportive housing for persons with disabilities, and rapid rehousing; (ii) transitional housing; (iii) supportive services only; (iv) Homeless Management Information Systems (HMIS), and (v) in some cases, homelessness prevention.","Homeless individuals and families with children; Recipients in Continuums of Care that have been designated by HUD as High Performing Communities (HPC) may serve persons determined to be at-risk of homelessness, based on criteria established through the present year Notice of Funding Availability (NOFA).",CoC,1,Housing,http://www.hudexchange.info/coc,https://cfda.gov/index?s=program&mode=form&tab=step1&id=15625a40a83ffcbd5d4b9362ccb0d1e1,1638933.15
CO-503,Metropolitan Denver Homeless Initiative,17.801,Disabled Veterans Outreach Program (DVOP),A - Formula Grants,"To provide individualized career services to meet the employment needs of disabled and other eligible veterans identified by the Secretary of Labor with maximum emphasis in meeting the employment needs of those who are economically or educationally disadvantaged, particularly for veterans with significant barriers to employment.","Veterans and eligible persons with emphasis on service-connected special disabled veterans, other disabled veterans, economically or educationally disadvantaged veterans, homeless veterans and veterans with other significant barriers to employment.",CoC,2,Employment,http://www.dol.gov/vets,https://cfda.gov/index?s=program&mode=form&tab=step1&id=59485ffb2855ce65aa026b95de945423,598606
CO-503,Metropolitan Denver Homeless Initiative,14.231,Emergency Solutions Grant Program,A - FORMULA GRANTS,"The ESG program provides funding to: (1) engage homeless individuals and families living on the street; (2) improve the number and quality of emergency shelters for homeless individuals and families; (3) help operate these shelters; (4) provide essential services to shelter residents, (5) rapidly re-house homeless individuals and families, and (6) prevent families and individuals from becoming homeless.","The minimum eligibility criteria for ESG beneficiaries are as follows: For essential services related to street outreach, beneficiaries must meet the criteria under paragraph (1)(i) of the “homeless” definition under § 576.2. For emergency shelter, beneficiaries must meet the “homeless” definition in 24 CFR 576.2. For essential services related to emergency shelter, beneficiaries must be “homeless” and staying in an emergency shelter (which could include a day shelter). For homelessness prevention assistance, beneficiaries must meet the requirements described in 24 CFR 576.103. For rapid re-housing assistance, beneficiaries must meet requirements described in 24 CFR 576.104. Further eligibility criteria may be established at the local level in accordance with 24 CFR 576.400(e).",CoC,1,Housing,http://www.hudexchange.info/esg,https://cfda.gov/index?s=program&mode=form&tab=step1&id=55c83b2b2f169cf8510b92ce1b8f0cfe,3980010
CO-503,Metropolitan Denver Homeless Initiative,14.267,Continuum of Care Program,"B - Project Grants, C - Direct Payments for Specified Use","The program is designed to promote community-wide commitment to the goal of ending homelessness; provide funding for efforts by nonprofit providers, States, and local governments to quickly house homeless individuals and families while minimizing the trauma and dislocation caused to homeless individuals, families, and communities by homelessness; promote access to and effective utilization of mainstream programs by homeless individuals and families; and optimize self-sufficiency among individuals and families experiencing homelessness. Continuum of Care Program funds may be used to pay for the eligible costs used to establish and operate projects under five program components: (i) permanent housing, which includes permanent supportive housing for persons with disabilities, and rapid rehousing; (ii) transitional housing; (iii) supportive services only; (iv) Homeless Management Information Systems (HMIS), and (v) in some cases, homelessness prevention.","Homeless individuals and families with children; Recipients in Continuums of Care that have been designated by HUD as High Performing Communities (HPC) may serve persons determined to be at-risk of homelessness, based on criteria established through the present year Notice of Funding Availability (NOFA).",CoC,1,Housing,http://www.hudexchange.info/coc,https://cfda.gov/index?s=program&mode=form&tab=step1&id=15625a40a83ffcbd5d4b9362ccb0d1e1,25961838.19
CT-503,Bridgeport/Norwalk /Stamford/Fairfield County CoC,64.024,VA Homeless Providers Grant and Per Diem Program,B - PROJECT GRANTS,"To assist public and nonprofit private entities in establishing new programs and service centers to furnish supportive services and supportive housing for homeless veterans through grants that may be used to acquire, renovate or alter facilities, and to provide per diem payments, to eligible entities that provide supportive services and supportive housing for homeless veterans.","Veterans, meaning a person who served in the active military, naval or air service, and who was discharged or released there from under conditions other than dishonorable.",CoC,1,Housing,http://www.va.gov/homeless/GPD.asp,https://cfda.gov/index?s=program&mode=form&tab=step1&id=67fc2accc0cc28afb7ef749bae599caf,751396
CT-503,Bridgeport/Norwalk /Stamford/Fairfield County CoC,14.231,Emergency Solutions Grant Program,A - FORMULA GRANTS,"The ESG program provides funding to: (1) engage homeless individuals and families living on the street; (2) improve the number and quality of emergency shelters for homeless individuals and families; (3) help operate these shelters; (4) provide essential services to shelter residents, (5) rapidly re-house homeless individuals and families, and (6) prevent families and individuals from becoming homeless.","The minimum eligibility criteria for ESG beneficiaries are as follows: For essential services related to street outreach, beneficiaries must meet the criteria under paragraph (1)(i) of the “homeless” definition under § 576.2. For emergency shelter, beneficiaries must meet the “homeless” definition in 24 CFR 576.2. For essential services related to emergency shelter, beneficiaries must be “homeless” and staying in an emergency shelter (which could include a day shelter). For homelessness prevention assistance, beneficiaries must meet the requirements described in 24 CFR 576.103. For rapid re-housing assistance, beneficiaries must meet requirements described in 24 CFR 576.104. Further eligibility criteria may be established at the local level in accordance with 24 CFR 576.400(e).",CoC,1,Housing,http://www.hudexchange.info/esg,https://cfda.gov/index?s=program&mode=form&tab=step1&id=55c83b2b2f169cf8510b92ce1b8f0cfe,248572
CT-503,Bridgeport/Norwalk /Stamford/Fairfield County CoC,17.274,YouthBuild,B - PROJECT GRANTS,"Grant funds will be used to provide disadvantaged youth with: the education and employment skills necessary to achieve economic self sufficiency in occupations in high demand and post-secondary education and training opportunities; opportunities for meaningful work and service to their communities; and opportunities to develop employment and leadership skills and a commitment to community development among youth in low-income communities. As part of their programming, YouthBuild grantees will tap the energies and talents of disadvantaged youth to increase the supply of permanent affordable housing for homeless individuals and low-income families and to assist youth to develop the leadership, learning, and high-demand occupational skills needed to succeed in todays global economy.","Under WIOA, an eligible youth is an individual who is (i) not less than age 16 and not more than age 24 on the date of enrollment; (ii) a member of a low-income family, a youth in foster care (including youth aging out of foster care), a youth offender, a youth who is an individual with a disability, a child of incarcerated parents, or a migrant youth; and (iii) a school dropout or an individual who was a school dropout and has subsequently reenrolled. Up to (but not more than) 25 percent of the participants in the program may be youth who do not meet the education and disadvantaged criteria above but who are: (1) basic skills deficient, despite attainment of a secondary school diploma or its recognized equivalent (including recognized certificates of attendance or similar documents for individuals with disabilities); or (2) have been referred by a local secondary school for participation in a YouthBuild program leading to the attainment of a secondary school diploma.",CoC,3,Education,http://www.doleta.gov,https://cfda.gov/index?s=program&mode=form&tab=step1&id=bae466b84793512ffd689f4fd8a90724,1098026
CT-505,Connecticut Balance of State CoC,64.024,VA Homeless Providers Grant and Per Diem Program,B - PROJECT GRANTS,"To assist public and nonprofit private entities in establishing new programs and service centers to furnish supportive services and supportive housing for homeless veterans through grants that may be used to acquire, renovate or alter facilities, and to provide per diem payments, to eligible entities that provide supportive services and supportive housing for homeless veterans.","Veterans, meaning a person who served in the active military, naval or air service, and who was discharged or released there from under conditions other than dishonorable.",CoC,1,Housing,http://www.va.gov/homeless/GPD.asp,https://cfda.gov/index?s=program&mode=form&tab=step1&id=67fc2accc0cc28afb7ef749bae599caf,1432577
CT-505,Connecticut Balance of State CoC,14.231,Emergency Solutions Grant Program,A - FORMULA GRANTS,"The ESG program provides funding to: (1) engage homeless individuals and families living on the street; (2) improve the number and quality of emergency shelters for homeless individuals and families; (3) help operate these shelters; (4) provide essential services to shelter residents, (5) rapidly re-house homeless individuals and families, and (6) prevent families and individuals from becoming homeless.","The minimum eligibility criteria for ESG beneficiaries are as follows: For essential services related to street outreach, beneficiaries must meet the criteria under paragraph (1)(i) of the “homeless” definition under § 576.2. For emergency shelter, beneficiaries must meet the “homeless” definition in 24 CFR 576.2. For essential services related to emergency shelter, beneficiaries must be “homeless” and staying in an emergency shelter (which could include a day shelter). For homelessness prevention assistance, beneficiaries must meet the requirements described in 24 CFR 576.103. For rapid re-housing assistance, beneficiaries must meet requirements described in 24 CFR 576.104. Further eligibility criteria may be established at the local level in accordance with 24 CFR 576.400(e).",CoC,1,Housing,http://www.hudexchange.info/esg,https://cfda.gov/index?s=program&mode=form&tab=step1&id=55c83b2b2f169cf8510b92ce1b8f0cfe,3125611
CT-505,Connecticut Balance of State CoC,17.274,YouthBuild,B - PROJECT GRANTS,"Grant funds will be used to provide disadvantaged youth with: the education and employment skills necessary to achieve economic self sufficiency in occupations in high demand and post-secondary education and training opportunities; opportunities for meaningful work and service to their communities; and opportunities to develop employment and leadership skills and a commitment to community development among youth in low-income communities. As part of their programming, YouthBuild grantees will tap the energies and talents of disadvantaged youth to increase the supply of permanent affordable housing for homeless individuals and low-income families and to assist youth to develop the leadership, learning, and high-demand occupational skills needed to succeed in todays global economy.","Under WIOA, an eligible youth is an individual who is (i) not less than age 16 and not more than age 24 on the date of enrollment; (ii) a member of a low-income family, a youth in foster care (including youth aging out of foster care), a youth offender, a youth who is an individual with a disability, a child of incarcerated parents, or a migrant youth; and (iii) a school dropout or an individual who was a school dropout and has subsequently reenrolled. Up to (but not more than) 25 percent of the participants in the program may be youth who do not meet the education and disadvantaged criteria above but who are: (1) basic skills deficient, despite attainment of a secondary school diploma or its recognized equivalent (including recognized certificates of attendance or similar documents for individuals with disabilities); or (2) have been referred by a local secondary school for participation in a YouthBuild program leading to the attainment of a secondary school diploma.",CoC,3,Education,http://www.doleta.gov,https://cfda.gov/index?s=program&mode=form&tab=step1&id=bae466b84793512ffd689f4fd8a90724,3160653
CT-505,Connecticut Balance of State CoC,17.801,Disabled Veterans Outreach Program (DVOP),A - Formula Grants,"To provide individualized career services to meet the employment needs of disabled and other eligible veterans identified by the Secretary of Labor with maximum emphasis in meeting the employment needs of those who are economically or educationally disadvantaged, particularly for veterans with significant barriers to employment.","Veterans and eligible persons with emphasis on service-connected special disabled veterans, other disabled veterans, economically or educationally disadvantaged veterans, homeless veterans and veterans with other significant barriers to employment.",CoC,2,Employment,http://www.dol.gov/vets,https://cfda.gov/index?s=program&mode=form&tab=step1&id=59485ffb2855ce65aa026b95de945423,507078
DE-500,Delaware Statewide CoC,64.024,VA Homeless Providers Grant and Per Diem Program,B - PROJECT GRANTS,"To assist public and nonprofit private entities in establishing new programs and service centers to furnish supportive services and supportive housing for homeless veterans through grants that may be used to acquire, renovate or alter facilities, and to provide per diem payments, to eligible entities that provide supportive services and supportive housing for homeless veterans.","Veterans, meaning a person who served in the active military, naval or air service, and who was discharged or released there from under conditions other than dishonorable.",CoC,1,Housing,http://www.va.gov/homeless/GPD.asp,https://cfda.gov/index?s=program&mode=form&tab=step1&id=67fc2accc0cc28afb7ef749bae599caf,230833
DE-500,Delaware Statewide CoC,14.267,Continuum of Care Program,"B - Project Grants, C - Direct Payments for Specified Use","The program is designed to promote community-wide commitment to the goal of ending homelessness; provide funding for efforts by nonprofit providers, States, and local governments to quickly house homeless individuals and families while minimizing the trauma and dislocation caused to homeless individuals, families, and communities by homelessness; promote access to and effective utilization of mainstream programs by homeless individuals and families; and optimize self-sufficiency among individuals and families experiencing homelessness. Continuum of Care Program funds may be used to pay for the eligible costs used to establish and operate projects under five program components: (i) permanent housing, which includes permanent supportive housing for persons with disabilities, and rapid rehousing; (ii) transitional housing; (iii) supportive services only; (iv) Homeless Management Information Systems (HMIS), and (v) in some cases, homelessness prevention.","Homeless individuals and families with children; Recipients in Continuums of Care that have been designated by HUD as High Performing Communities (HPC) may serve persons determined to be at-risk of homelessness, based on criteria established through the present year Notice of Funding Availability (NOFA).",CoC,1,Housing,http://www.hudexchange.info/coc,https://cfda.gov/index?s=program&mode=form&tab=step1&id=15625a40a83ffcbd5d4b9362ccb0d1e1,8295075
DE-500,Delaware Statewide CoC,17.801,Disabled Veterans Outreach Program (DVOP),A - Formula Grants,"To provide individualized career services to meet the employment needs of disabled and other eligible veterans identified by the Secretary of Labor with maximum emphasis in meeting the employment needs of those who are economically or educationally disadvantaged, particularly for veterans with significant barriers to employment.","Veterans and eligible persons with emphasis on service-connected special disabled veterans, other disabled veterans, economically or educationally disadvantaged veterans, homeless veterans and veterans with other significant barriers to employment.",CoC,2,Employment,http://www.dol.gov/vets,https://cfda.gov/index?s=program&mode=form&tab=step1&id=59485ffb2855ce65aa026b95de945423,119994
DC-500,District of Columbia CoC,14.267,Continuum of Care Program,"B - Project Grants, C - Direct Payments for Specified Use","The program is designed to promote community-wide commitment to the goal of ending homelessness; provide funding for efforts by nonprofit providers, States, and local governments to quickly house homeless individuals and families while minimizing the trauma and dislocation caused to homeless individuals, families, and communities by homelessness; promote access to and effective utilization of mainstream programs by homeless individuals and families; and optimize self-sufficiency among individuals and families experiencing homelessness. Continuum of Care Program funds may be used to pay for the eligible costs used to establish and operate projects under five program components: (i) permanent housing, which includes permanent supportive housing for persons with disabilities, and rapid rehousing; (ii) transitional housing; (iii) supportive services only; (iv) Homeless Management Information Systems (HMIS), and (v) in some cases, homelessness prevention.","Homeless individuals and families with children; Recipients in Continuums of Care that have been designated by HUD as High Performing Communities (HPC) may serve persons determined to be at-risk of homelessness, based on criteria established through the present year Notice of Funding Availability (NOFA).",CoC,1,Housing,http://www.hudexchange.info/coc,https://cfda.gov/index?s=program&mode=form&tab=step1&id=15625a40a83ffcbd5d4b9362ccb0d1e1,23801800.72
